OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"11","ISCN: The Learning Center","951 264-6739","495 Santana Way, Corona, CA 92881","Corona","California","Prek-8th","USA","Aniqa Janjua","schooldirector.tlc@gmail.com","https://www.tlc-corona.org/","100-150","2012","Prek-8th","$3000-$4999","No","robotics, STEM","","","","","","","","","11","33.8511327","-117.5618038"
"12","Islamic Academy of Riverside","(951) 682-1202","1038 W Linden St bldg b, Riverside, CA 92507","Riverside","California","Prek-8th","United States","Reham Shaath","rshaath@islamicacademyofriverside.org","https://islamicacademyofriverside.org/","82","1987","Prek-8th","$3000-$4999","Yes","PE, PTO, Competitions, lunch but not this year, Science/Computer lab, Uniform, Financial aid, sibling disc,","","","https://www.facebook.com/Islamic","https://www.instagram.com/iarschool/?hl=en","","","","","12","33.978897","-117.3344039"
"13","Meraj Academy","(818) 886-5831","11070 Old Santa Susana Pass Rd, Chatsworth, CA 91311","Chatsworth","California","Prek-8th","United States","","admin@merajacademy.info","https://www.merajacademy.info/","","1994","Prek-8th","$7000-$8999","Yes","Sibling disc, afterschool care, robotics and coding, AI and STEM, clubs, competitions, sport fields,","","","https://www.facebook.com/merajchatsworth","","","","","","13","34.271447","-118.6064876"
"14","New Horizon School, Irvine - Upper Campus","(949) 281-0054","10 Marconi, Irvine, CA 92618","Ladera Ranch","California","3rd-8th","United States","Dina Eletreby","deletreby@nhirvine.org","http://newhorizonirvine.org","158","2018","3rd-8th","19000+","Yes","hot lunch, science and computer lab, uniforms, sibling disc,financial aid, after school clubs, PTO, ESL, Social and emotional program, Sports teams and competitions, digital citizenship program, competitions","","","https://www.facebook.com/nhirvine/","https://www.instagram.com/nhirvine/?hl=en","https://twitter.com/nhirvine/","","","","14","33.64209","-117.720157"
"15","New Horizon School Pasadena","(626) 795-5186","651 N Orange Grove Blvd, Pasadena, CA 91103","Pasadena","California","Prek-8th","United States","Amira Al-Sarraf","aalsarraf@newhorizonschool.org","http://newhorizonschool.org","119","1984","Prek-8th","$17000-$18999","Yes","Competition, SEL, STEM, Debate team, peace garden, performing art(concert, playing instruments, act plays, sing, , ..), afterschool care, summer camp, sport teams, citizenship program, trip to wash DC, parents club, International students, ESL, transportation, financial aid, Title IX compliance","","","https://www.facebook.com/NewHorizonSchoolPasadena","https://www.instagram.com/nhspasadena/","https://twitter.com/nhspasadena","","","","15","34.1552132","-118.1564596"
"16","New Horizon School Westside","(310) 231-6092","1819 Sawtelle Blvd, Los Angeles, CA 90025","Los Angeles","California","Prek-5th","United States","Dalal Hassouna-Antabli","info@newhorizonwestside.com","https://newhorizonwestside.org/","125","1995","Prek-5th","","Yes","Character building program, after school care, homework club, summer camp, discount and scholarships","","","https://www.facebook.com/NewHorizonSchoolWestside/","","","","","","16","34.0433101","-118.4460945"
"17","New Horizon School-Los Angeles","(213) 480-3145","434 S Vermont Ave, Los Angeles, CA 90020","Los Angeles","California","Prek-5th","United States","Jolanda Hussain-Herdriks","info@newhorizonla.org","http://www.newhorizonla.org","75","1984","Prek-5th","$5000-$6999","Yes","hot lunch, science lab, uniforms, library, computer lab, PE, Wellness wednesday, Sibling discount, financial aid,  Afterschool Hifz online program with additional fees","","","https://www.facebook.com/NHSLosAngeles/","https://www.instagram.com/nhslosangeles/","https://twitter.com/newhorizon_la","","","","17","34.0664608","-118.2912604"
"18","Pillars Academy (formerly Al-Ridah Academy)","(949) 951-0442","23581 Madero # 104, Mission Viejo, CA 92691","Mission Viejo","California","","United States","Adita Arya","info@pillarsacademy.org","http://www.pillarsacademy.org/","180","2000","","","Yes","sibling disc","","","","","","","","","18","33.6207064","-117.6785199"
"19","Quba Islamic School (formerly New Dimensions)","(909) 620-5297","19164 E Walnut Dr N, Rowland Heights, CA 91748","North Rowland Heights","California","K-11th","United States","Nadia Kashuka. - Principal","info@qubais.org","https://www.qubais.org/","72 - 100","2021-2022","K-11th","$600/month","Fall of 2023 for accreditation","uniforms, ESL, California Exit Exam, upto 12th Grade Diploma, Local community college dual enrollment, science lab, student body/ government, public speaking training, National and Local Competition across various subjects, Family Discount Consideration, Sponsorships","","","","","","","","","19","33.9953969","-117.8843317"
"20","Qurtobah School (now homeschool only)","(323) 731-2581","3420 W Jefferson Blvd, Los Angeles, CA 90018","Los Angeles","California","","United States","M. Alazzawi","","","","","","","","","","","","","","","","","20","34.0254775","-118.3336443"
"21","Salam Elementary","(916) 979-1933","4541 College Oak Dr, Sacramento, CA 95841","Sacramento","California","","United States","Maren","admin@salamacademy.com","http://salamacademy.com","","","","","","","","","","","","","","","21","38.6473722","-121.3514827"
"22","Silicon Valley Academy","(408) 243-9333","195 Leota Ave, Sunnyvale, CA 94086","Sunnyvale","California","Prek-12th","United States","Mona Nezzar","mnezzar@svamail.com","http://svaschool.org","145","1997","Prek-12th","$9000-$10999","No","uniform, science lab, financial aid, sibling discount","","","https://www.facebook.com/siliconvalleyacademy/","https://www.instagram.com/siliconvalleyacademy/?hl=en","https://twitter.com/SiliconValleya2","","","","22","37.3807509","-122.0503183"
"23","Valley Crescent School","(559) 298-0023","547 W Nees Ave, Clovis, CA 93611","Clovis","California","K-8th","United States","Gharib Khalil","gkhalil@vcsfresno.net","http://vcsfresno.net","130","2001","K-8th","$3000-$4999","Yes","transportation (used to), clubs, uniform, hot lunch (used to), financial aid, sib disc","","","https://www.facebook.com/ValleyCrescentSchoolClovis/","","","","","","23","36.8527999","-119.7238428"
"24","Islamic Academy of Delaware","(302) 455-9988","Newark, DE 19713","Newark","Delaware","Prek-8th","United States","Nidal Abussi","","http://www.iadonline.org","120","2008","Prek-8th","$3000-$4999","Yes","","","","https://www.facebook.com/IslamicAcademyofDelaware","","","","","","24","39.670937","-75.7080727"
"25","Tarbiyah Islamic School of Delaware","(302) 533-8114","706 S Old Baltimore Pike, Newark, DE 19702","Newark","Delaware","Prek-8th","United States","Dr. Amna Latif","info@TarbiyahSchool.org","http://tarbiyahschool.org","23","2011","Prek-8th","$3000-$4999","No","","","","https://www.facebook.com/TarbiyahSchool/","","","","","","25","39.6452537","-75.7161536"
"26","Al-Furqan Academy","(904) 645-0810","2333 St Johns Bluff Rd S, Jacksonville, FL 32246","Jacksonville","Florida","Prek-12th","United States","Mohamed Arab","Office@alfurqanacademy.org","http://www.alfurqanacademy.org","261","1997","Prek-12th","$7000-$8999","Yes","scholarship, science lab, uniforms, sibling disc,","","","https://www.facebook.com/FurqanAcademy/","","","","","","26","30.3075837","-81.52516349999999"
"27","American Youth Academy","(813) 987-9282","5905 E 130th Ave, Tampa, FL 33617","Tampa","Florida","Prek-12th","United States","Eman Khalifeh","marketingdirector@ayatampa.com","http://www.ayatampa.org","720","1992","Prek-12th","$8000-9000","Yes","hot lunch, financial aid, science lab, uniforms, sibling disc, financial aid","","","https://www.facebook.com/AmericanYouthAcademyTampa/?ref=bookmarks","https://twitter.com/Tampa_AYA","https://www.instagram.com/american_youth_academy_/","","","","27","28.064372","-82.3903362"
"28","Darul Uloom Institute & Islamic Training Center","(954) 963-9514","7050 Pines Blvd, Pembroke Pines, FL 33023","Pembroke Pines","Florida","","United States","Maulana Shafayat Mohamed","Alhikmat@hotmail.com","http://www.alhikmat.com/darululoomflorida.html","","1994","","","","","","","","","","","","","28","26.0087164","-80.22873299999999"
"29","Garden of the Sahaba Academy","(561) 395-3011","3100 NW 5th Ave, Boca Raton, FL 33431","Boca Raton","Florida","Prek-12th","United States","Fathi Khalfi","fathi@assahaba.org","http://www.assahaba.org","200","2003","Prek-12th","$7000-$8999","Yes","scholarship, science lab, uniforms, financial aid, staff disc., transportation only to North, competitions, ESL program","","","https://www.facebook.com/GSAislamicschool/?ref=aymt_homepage_panel","https://www.instagram.com/gardenofthesahaba/","","","","","29","26.3797549","-80.09336499999999"
"30","Izzadeen Academy","(321) 948-9958","4992 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746","Kissimmee","Florida","Prek-12th","United States","Wafaa Alkhateeb","info@izzadeenacademy.org","http://izzadeenacademy.org/","25","2020","Prek-12th","$6600-$8000","In-progress","scholarship, sibling disc","","","https://www.facebook.com/iaislamicschoolorlando/","https://www.instagram.com/izzadeen_academy/","https://twitter.com/AcademyIzzadeen","","","","30","28.3322461","-81.4826167"
"31","Muslim Academy of Greater Orlando","(407) 238-0144","11551 Ruby Lake Rd, Orlando, FL 32836","Orlando","Florida","Prek-8th","United States","Jameer Abbas","jabbas@magorlando.net","https://magorlando.net/","323","2007","Prek-8th","$5000-$6999","In-progress","scholarship, science lab, uniforms,","","","https://www.facebook.com/MuslimAcademyofGreaterOrlando/","","","","","","31","28.397418","-81.50249649999999"
"32","Nur Academy","(941) 343-3038","4350 N Lockwood Ridge Rd, Sarasota, FL 34235","Sarasota","Florida","","United States","Adris Khan","Nuracademyfl@gmail.com","https://nur-academy.org/","25","2018","","$7000-$8999","No","scholarship,uniforms, sibling disc, financial aid","","","https://www.facebook.com/nuracademyflorida","","","","","","32","27.3723722","-82.50408949999999"
"33","Nur Ul Islam Academy","(954) 434-3288","10600 SW 59th St, Davie, FL 33328","Cooper City","Florida","Prek-12th","United States","Br. Kem Hussain","info@nuiacademy.com","https://nuiacademy.com/","400+","1996","Prek-12th","","Yes","College prep","","","https://www.facebook.com/nuisouthflorida/","https://www.instagram.com/nuisouthflorida/","","","","","33","26.0450708","-80.2883583"
"34","Palm Grove Academy","(352) 213-2721","1601 NE 26th St, Ocala, FL 34470","Ocala","Florida","","United States","Yousef Elyaman","info@palmgroveacademy.com","http://www.palmgroveacademy.com","10","2018","","","No","uniforms, sibling disc,","","","https://www.facebook.com/groups/801196260079611/","","","","","","34","29.2133958","-82.11690689999999"
"35","Panama City Advanced School","(850) 784-2520","3332 Token Rd, Panama City, FL 32405","Panama City","Florida","","United States","Rashid Karaman","admin@pcasfl.org","http://www.pcasfl.net/","127","1995","","","Yes","scholarship, uniforms, tax credit program","","","https://www.facebook.com/PCAdvanced/","https://www.instagram.com/pcasfl/","https://twitter.com/PCAdvanced_FL?lang=en","","","","35","30.2089018","-85.6700887"
"36","Reviver Academy","(786)-529-2568","560 NW 165th St, Miami, FL 33169","Miami","Florida","","United States","Omar Chatila","info@reviveracademy.com","https://reviveracademy.com/","70","2012","","","In-progress","uniforms, financial aid","","","facebook.com/reviveracademy","","","","","","36","25.9233792","-80.20927449999999"
"37","Al-Furqan Academy","678-336-9938","568 N Norcross Tucker Rd, Norcross, GA 30071","Norcross","Georgia","K-12th","United States","Fareed Ahmed","Info@myalfurqan.com","https://www.myalfurqan.com/","","2014","K-12th","$0-$2999","","Uniforms","","","https://www.facebook.com/MyAlfurqan/","","https://twitter.com/myalfurqan","","","","37","33.9286984","-84.2142618"
"38","City of Knowledge Islamic School","(770) 638-1899","4255 Lawrenceville Hwy, Lilburn, GA 30047","Lilburn","Georgia","Prek-8th","United States","","director@cityofknowledgeschool.org","http://cityofknowledgeschool.org","","2000","Prek-8th","$3000-$4999","In-progress","hot lunch, scholarship, science lab, uniforms, sibling disc","","","https://www.facebook.com/people/City","https://www.instagram.com/cityofknowledge_islamicschool/","https://twitter.com/ckislamicschool","","","","38","33.9036524","-84.1232635"
"39","Iqra Academy","(770) 682-6666","2329 Lawrenceville Hwy b1, Lawrenceville, GA 30044","Lawrenceville","Georgia","","United States","","fatimaali.iqra@gmail.com","http://iqraacademy.us","0","2000","","","In-progress","hot lunch, scholarship, science lab, uniforms","","","https://www.facebook.com/p/Iqra","","","","","","39","33.9277635","-84.058802"
"40","Risala Academy","(404) 856-0365","675 Village Square Dr, Stone Mountain, GA 30083","Stone Mountain","Georgia","","United States","Atiba Jones","risalaacademy@gmail.com","http://risalaislamicacademy.com","100","2008","","","Yes","","","","https://www.facebook.com/Risalaacademy/","","","","","","40","33.7965906","-84.2118641"
"41","Mohammed Schools of Atlanta","(404) 378-4219","735 Fayetteville Rd SE, Atlanta, GA 30316","Atlanta","Georgia","Prek-12th","United States","Safiyyah Shahid","info@mohammedschools.org","https://www.mohammedschools.org/","","1965","Prek-12th","$7000-$8999","Yes","Sibling disc, AP, Dual credit, MIST participation, clubs, alumni association","","","https://www.facebook.com/MohammedSchools","https://www.instagram.com/mohammedschools/","","","","","41","33.7369253","-84.3152915"
"42","Abraar Academy","(708) 872 7867","Harvey, IL 60426","Harvey","Illinois","","United States","Iqbal U Vohra","info@citcd.org","http://citcd.org/","154","2012","","","No","scholarship","","","https://www.facebook.com/citcd.citcd.5","https://www.instagram.com/citcd/","https://twitter.com/CITCD","","","","42","41.612233","-87.65318049999999"
"43","AL-Huda Academy","(630) 270-3130","7455 Jensen Blvd, Hanover Park, IL 60133","Hanover Park","Illinois","Prek-6th","United States","Samia Altaf","samia.altaf@alhudaacademy.com","http://www.alhudaacademy.com/","85","2007","Prek-6th","$5000-$6999","No","hot lunch,uniforms, sibling disc; financial aid","","","https://www.facebook.com/groups/25897234295/","https://www.instagram.com/alhudaacademyhanoverpark/","","","","","43","42.0082779","-88.14796679999999"
"44","Aqsa School","(708) 598-2700","7361 W 92nd St, Bridgeview, IL 60455","Bridgeview","Illinois","Prek-12th","United States","Tammie Ismail","tismail@aqsa.edu","http://aqsa.edu","200","1986","Prek-12th","","No","hot lunch, scholarship, science lab, uniforms, financial aid","","","https://www.facebook.com/AqsaSchool/","https://www.instagram.com/explore/locations/774478689/aqsa","https://twitter.com/aqsaschool?lang=en","","","","44","41.7237795","-87.8031516"
"45","ICCD Academy","(773) 587-3786","480 Potter Rd, Des Plaines, IL 60016","Des Plaines","Illinois","","United States","Irfan Mohammed","islamicschool@iccofdesplaines.com","https://www.iccdislamicschool.org/","108","2016","","$3000-$4999","No","hot lunch, scholarship, science lab, uniforms, financial aid, extracurricular activities, clubs","","","","","","","","","45","42.0454049","-87.8608835"
"46","ICCI Academy (Elementary School)","(773)-637-3755","6435 W Belmont Ave, Chicago, IL 60634","Chicago","Illinois","Prek-8th","United States","DR. Mohamed Elnatour","principal@icciacademy.com","http://icciacademy.com","85","2008","Prek-8th","$5000-$6999","No","hot lunch,  science lab, uniforms, sibling disc","","","https://www.facebook.com/people/ICCI","","","","","","46","41.9379618","-87.78736219999999"
"47","Institute of Islamic Education (Boarding School for Boys & Girls)","(847) 695-4685","1290 Bluff City Blvd, Elgin, IL 60120","Elgin","Illinois","","United States","Sulaiman Saleem","iie.office@islamicedu.org","https://www.islamicedu.org/","","1989","","","","Boarding school","","","","","","","","","47","42.0188955","-88.24041919999999"
"48","Islamic Center of Naperville- Full Time School","(630) 544-6164","2844 W Ogden Ave, Naperville, IL 60540","Naperville","Illinois","Prek-4th","United States","","ftsadmin@icnmasjid.org","https://fts.icnmasjid.org/","36","1994","Prek-4th","$5000-$6999","No","uniforms, sibling disc,","","","","","","","","","48","41.753877","-88.20140099999999"
"49","Islamic Foundation School","(630) 941-8800","300 W Highridge Rd, Villa Park, IL 60181","Villa Park","Illinois","Prek-12th","United States","Omar Qureshi","info@ifsvp.org","http://www.ifsvp.org/","654","1986","Prek-12th","$7000-$8999","Yes","hot lunch, science lab, uniforms, sibling disc, staff disc","","","https://www.facebook.com/IFSVP","","","","","","49","41.8681693","-87.9857727"
"50","Makki Educational Academy","(773) 865-9275","4920 N Kimball Ave, Chicago, IL 60625","Chicago","Illinois","","United States","","school@meachicago.com","https://www.meachicago.org/","20","2016","","$0-$2999","No","Sibling disc","","","","","","","","","50","41.9709449","-87.713798"
"51","Muhammed University of Islam","(773) 643-0700","Mosque Maryam, 7351 S Stony Is Ave, Chicago, IL 60649","Chicago","Illinois","Prek-12th","United States","","","http://www.muichicago.org","","1934","Prek-12th","","","","","","","","","","","","51","41.7609157","-87.5844552"
"52","Prairie Academy Elementary School","(773) 697-8410","613 W Bittersweet Pl, Chicago, IL 60613","Chicago","Illinois","","United States","Nedaa Alwawi","INFO@PRAIRIEACADEMY.ORG","https://www.prairieacademy.org/","27","2015","","$15000-$16999","In-progress","scholarship, sibling disc, financial aid","","","https://www.facebook.com/prairieacademy/?ref=bookmarks","https://www.instagram.com/prairieacademyschool/","https://twitter.com/Prairieacademy","","","","52","41.9552615","-87.6462432"
"53","Rockford Iqra School","(815) 397-6899","5925 Darlene Dr, Rockford, IL 61109","Rockford","Illinois","Prek-12th","United States","Mona Nizamuddin","office@rockfordiqraschool.com","http://www.rockfordiqraschool.com","170","1998","Prek-12th","","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,financial aid","","","https://www.facebook.com/rockfordiqraschool/","","https://twitter.com/rockfordiqra","","","","53","42.2358376","-89.00082719999999"
"54","Universal School","(708) 599-4100","7350 W 93rd St, Bridgeview, IL 60455","Bridgeview","Illinois","Prek-12th","United States","Aminah Murrar","supportstaff@universalschool.org","http://universalschool.org","660+","1990","Prek-12th","$7000-$8999","Yes","After school clubs, scholarships, financial aid, hot lunch, MIST participation","","","https://www.facebook.com/UniversalSchool/","https://www.instagram.com/universalschool.1/","https://twitter.com/univ_school","","","","54","41.7232895","-87.8019224"
"55","Islamic School of Naperville","(630) 355-3733","450 Olesen Dr, Naperville, IL 60540","Naperville","Illinois`","","United States","","iibaig@msn.com","http://islamiccenterofnaperville.org","0","","","","","","","","https://www.facebook.com/IslamicCenterOfNaperville","https://www.instagram.com/islamiccenterofnaperville/","https://twitter.com/ICNMasjid","","","","55","41.768307","-88.1201778"
"56","Avicenna Academy","(219) 736-7100","9803 Colorado St, Crown Point, IN 46307","Crown Point","Indiana","Prek-8th","United States","Nuha Rifai","info@avicennaacdemy.org","http://avicennaacademy.org","","2004","Prek-8th","","Yes","","","","","","","","","","56","41.4396175","-87.2949725"
"57","Islamic School of Plainfield","317-203-5769","2183 Stanley Rd, Plainfield, IN 46168","Plainfield","Indiana","Preschool- Prek","United States","Fatima Hussain","islamicschoolofplainfield@gmail.com","http://islamicschoolofplainfield.com/","10","1977","Preschool- Prek","","In-progress","scholarship,  sibling disc, inancial aid","","","https://www.facebook.com/UniversalSchoolofPlainfield/","","","","","","57","39.6894971","-86.36626849999999"
"58","Annoor Islamic School","(316) 685-5768","6655 E 34th St N, Wichita, KS 67226","Wichita","Kansas","Prek-12th","United States","Michael Barton","principal@myannoor.org","http://www.myannoor.org","157","1989","Prek-12th","$5000-$6999","Yes","financial aid, science lab, extracurriculars, sibling disc, hot lunch,Dual-credit classes, QIA,","","","https://www.facebook.com/AnnoorIslamicSchoolWichita/","","","","","","58","37.7462351","-97.2578755"
"59","Pioneers Academy","(651) 307-2928","1604 Brookdale Dr N, Brooklyn Park, MN 55444","Brooklyn Park","Minnesota","Prek-5th","United States","Elias Ali","info@pioneeracademy.org","http://pioneersacademy.org","77","2013","Prek-5th","$7000-$8999","In-progress","hot lunch, uniforms, sibling disc","","","https://www.facebook.com/Pioneers","","","","","","59","45.0950432","-93.3151537"
"60","Lexington Universal Academy","(859) 272-3360","4580 Nicholasville Rd, Lexington, KY 40515","Lexington","Kentucky","Prek-8th","United States","Haitham Issa","office@luaky.org","http://www.luaky.org","161","2003","Prek-8th","$5000-$6999","Yes","scholarship, science lab, uniforms, sibling disc","","","https://facebook.com/luaschool","","https://www.instagram.com/islamicschooloflouisville/","","","","60","37.9643851","-84.53450560000002"
"61","Brighter Horizon School of Baton Rouge","(225) 927-2521","1896 Wooddale Blvd, Baton Rouge, LA 70806","Baton Rouge","Louisiana","Prek-12th","United States","Anwar Hamdi","Principal@brighterhorizon.net","http://www.brighterhorizonschool.org","100","1994","Prek-12th","$3000-$4999","In-progress","scholarship, science lab, uniforms, sibling disc","","","https://www.facebook.com/BHSchoolBR/","","","","","","61","30.4658325","-91.11301390000001"
"62","Omar Ibn Khattab Islamic School of Greater New Orleans","(504) 466-4055","2420 Illinois Ave, Kenner, LA 70062","Kenner","Louisiana","Prek-8th","United States","Fouzia Parveen","principal@isgno.net","http://www.isgno.net/","","","Prek-8th","$0-$2999","No","Uniform,STEM, extracurricular activities, after school clubs,","","","https://m.facebook.com/profile.php?id=401264293357931","","","","","","62","30.00035059999999","-90.2375491"
"63","Alhuda Academy","(508) 854-4700","248 Mountain St E, Worcester, MA 01606","Worcester","Massachusetts","Prek-8th","United States","Nadeem Sikandar","Principal@alhudaacademy.org","http://www.alhudaacademy.org/","97","2001","Prek-8th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, financial aid","","","https://www.facebook.com/myAlhuda","","","","","","63","42.3182261","-71.77705279999999"
"64","Al Hadi Learning Organization","(410) 808-3478","2704 Martello Dr, Silver Spring, MD 20904","Silver Spring","Maryland","Prek-K","United States","Sabera Husain","info@alhadi.school","http://alhadi.school","22","2017","Prek-K","$7000-$8999","In-progress","","","","https://www.facebook.com/AlHadiLearning/","https://www.instagram.com/al_hadi_learning_org/","","","","","64","39.0823877","-76.9553717"
"65","Al-Rahmah School and Nursery","(410) 719-0921","6631 Johnnycake Rd, Baltimore, MD 21244","Baltimore","Maryland","K-12th","United States","Mehnaz fatima","mehnaz.fatima@alrahmah.org","http://www.alrahmah.org/","165","1987","K-12th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, financial aid,Quran academy, nursery, sunday school","","","https://facebook.com/alrahmahschool","https://www.instagram.com/alrahmahschoolars/","https://twitter.com/AlRahmah","","","","65","39.3030755","-76.74801289999999"
"66","An-Nur Academy","(301) 459-4942","9150 Lanham Severn Rd, Lanham, MD 20706","Lanham","Maryland","Prek-2nd","United States","","ijazamalik@aol.com","","36","","Prek-2nd","","","","","","","","","","","","66","38.9674737","-76.85633059999999"
"67","Islamic Community School","(410) 462-2021","1335 W North Ave, Baltimore, MD 21217","Baltimore","Maryland","","United States","","Baltimoreics@aol.com","","0","1982","","","","","","","https://www.facebook.com/IslamicCommunitySchool/","","","","","","67","39.3100233","-76.6392369"
"68","Muslim Community School and Alim Academy","(301) 340-6713","7917 Montrose Rd, Potomac, MD 20854","Potomac","Maryland","Prek-12th","United States","Somayyah Nahidian","snahidian@mymcs.org","https://alimacademy.org/","88","1984","Prek-12th","$9000-$10999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,","","","https://www.facebook.com/MCSandAApto","https://www.instagram.com/mcs_alimacademy_pto/","https://twitter.com/PtoMcs","","","","68","39.0578025","-77.165515"
"69","Al Hamra Academy","(508) 845-7000","433 South St, Shrewsbury, MA 01545","Shrewsbury","Massachusetts","Prek-8th","United States","Noor Ali","noora@alhamraacademy.org","http://www.alhamraacademy.org","138","1994","Prek-8th","$7000-$8999","Yes","hot lunch, scholarship, uniforms, sibling disc,early childhood, clubs, sports,","","","https://facebook.com/1alhamra","https://www.instagram.com/al.hamra.academy/","https://twitter.com/alhamraacad","","","","69","42.2714426","-71.68385889999999"
