OBJECTID,SCHOOL_NAME,SCHOOL_ADDRESS,FEATURES,LATITUDE,LONGITUDE,CITY,STATE,STATE_SHORTNAME,ZIP_CODE,ESTABLISHED_YEAR,WEBSITE,FACEBOOK,INSTAGRAM,TWITTER,YOUTUBE,LINKEDIN,FLICKR,PHONE,EMAIL_ADDRESS,ACCREDITATION_STATUS,ACCREDITATION_AGENCY,ENROLLMENT_SIZE,SCHOOL_SERVICES_PROGRAMS,FID
11,Orange Crescent School,1 Al-Rahman Plaza,"hot lunch, scholarship, science lab, uniforms",30.14426,-91.95808,Garden Grove,California,CA,92844,1983,http://www.orangecrescent.com,https://www.facebook.com/OrangeCrescentSchool,https://www.instagram.com/orangecrescentschool/,https://twitter.com/ocsrisingstar,,,,(714) 531-1451,myoussef@orangecrescent.com,Accredited,WASC- Western Association of Schools and Colleges,270,"Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Sports teams,Regional and National competitions,College dual credit,Alumni association",11
12,College Preparatory School of America,331 W. Madison St.,N/A,41.87368,-88.02491,Lombard,Illinois,IL,60148,1991,http://cpsaonline.org,https://www.facebook.com/cpsaschool,,,https://www.youtube.com/@cpsathunder4720,,,(630) 889-8000,mainoffice@cpsaonline.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,630,"After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Regional and National competitions,Advanced Placement (AP),College preparatory programs,Alumni association",12
13,Averroes High School,43433 Mission Blvd,"hot lunch, scholarship, science lab, uniforms",37.5313315,-121.9249474,Fremont,California,CA,94539,2011,http://www.averroeshighschool.com,https://www.facebook.com/AverroesInstitute,https://www.instagram.com/averroeshigh/,https://twitter.com/averroeshs,https://www.youtube.com/@AverroesInstitute,,,(510) 580-4566,info@averroesinstitute.com,Accredited,WASC- Western Association of Schools and Colleges,65,"Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association",13
14,Al-Amal School,1401 Gardena Avenue NE. ,N/A,45.0753257,-93.2404775,Fridley,Minnesota,MN,55432,,http://www.al-amal.org/,https://www.facebook.com/AlAmalFridleyMN/,,,,,,(763) 571-8886,info@al-amal.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",435,"After school clubs,Character/tarbiyah program,Hifdh,Regional and National competitions,College dual credit,College preparatory programs",14
15,Cordoba Academy,3210 200 th PL SW,N/A,47.8166893,-122.2819577,Lynnwood,Washington ,WA,98043,2017,http://www.cordobaacademy.org,https://www.facebook.com/CordobaAcademySeattle/,,,https://www.youtube.com/watch?v=sZTPvjSnLNs&t=2s,,,(425) 954-3687,info@cordobaacademy.org,Not accredited,,65,"Character/tarbiyah program,Montessori curriculum/program,Homeschooling support",15
16,Leaders Preparatory School,"10210 N, Golden rod Road","hot lunch, scholarship, science lab, uniforms",28.5691647,-81.2885571,Orlando,Florida,FL,32807,1991,http://WWW.LPSCFL.org,https://www.facebook.com/leaderspreparatoryschool,https://www.instagram.com/leaders_prep/,https://twitter.com/leaders_prep,,https://www.linkedin.com/company/leaders-preparatory-school,,(407) 382-9900,f.elkhaldi@lpscfl.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",230,"Transportation/busing,After school clubs,Character/tarbiyah program,Hifdh,College dual credit",16
17,Bayaan Academy ,15435 Morris Bridge Rd,"scholarship, uniforms",28.1379441,-82.2866398,Thonotosassa,Florida,FL,33592,2015,http://www.Bayaanacademy.org,https://www.facebook.com/bayaanacademy,https://www.instagram.com/Bayaanacademyfl/,,https://www.youtube.com/@bayaanacademyyoutubeadmin8492,,,(813) 548-0126,Magdasaleh@bayaanacademy.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,165,"Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",17
18,Crescent View Academy,"10958 E. BETHANY DRIVE, , Crescent View Academy","hot lunch, scholarship, uniforms",39.6628145,-104.8630944,Aurora,Colorado,CO,80014,1993,http://www.crescentview.org,https://www.facebook.com/CrescentViewAcademy,https://www.instagram.com/CrescentViewAcademy/,,https://www.youtube.com/@CrescentViewAcademy,,,(303) 745-2245,principal@crescentview.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",475,"After school clubs,Tutoring Program,Debate,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College preparatory programs",18
19,ICN Noor Academy,2844 W Ogden Ave,uniforms,41.7538809,-88.2062719,Naperville,ILLINOIS,IL,60540,1991,http://fts-nooracademy.com/,https://www.facebook.com/ICNNoorAcademy,https://www.instagram.com/CrescentViewAcademy/,,,,,(630) 544-6164,ftsadmin@icnmasjid.org,In the process of applying,CISNA- Council of Islamic School of North America,56,"After school clubs,Character/tarbiyah program",19
20,Baytul-Iman Academy,311 Laurel Ave,N/A,40.4381511,-74.1413906,Hazlet,New Jersey,NJ,07733,2001,http://www.baytuliman.org,https://www.facebook.com/BaytulIman.Academy,https://www.instagram.com/baytulimanacademy/,,,,,(732) 705-1242,contact@baytuliman.org,Other,,80,"Transportation/busing,After school clubs,Special education,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Homeschooling support,Sports teams,Regional and National competitions",20
21,Everest Academy,610 Brand Lane,"hot lunch, uniforms",29.6188268,-95.5819736,Stafford,Texas,TX,77477,2007,http://www.everest-academy.com,https://www.facebook.com/everest.academy610/,https://www.instagram.com/everest_academy_stafford/,https://twitter.com/_EverestAcademy,,,,(281) 261-3030,farahn@everest-academy.com,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",380,"After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,Alumni association",21
22,Hadi School of Excellence,"375 S Roselle Rd,","hot lunch, scholarship, science lab, uniforms",42.0214211,-88.0818875,Schaumburg,ILLINOIS,IL,60193,2003,http://Hadischool.org,https://www.facebook.com/hadischool.excellence?mibextid=ZbWKwL,https://www.instagram.com/Hadischool786/,https://twitter.com/hadischool786,https://www.youtube.com/watch?v=lOi8Xq4Ywc0,,,(847) 891-4440,Contact@hadischool.org,In the process of applying,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",100,"After school clubs,Character/tarbiyah program,Montessori curriculum/program,Debate,Digital citizenship education,Sports teams,Regional and National competitions",22
23,Tawheed Center of Detroit School ,20601 W. Warren Ave,N/A,42.3419153,-83.2433894,Dearborn Heights,Michigan,MI,48127,2001,http://school.masjidtawheed.org,,,,,,,(313) 271-0731,ghazala.khan@school.masjidtawheed.org,Other,,237,"After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Regional and National competitions",23
24,Al Falah Academy,1835 Shackleford Ct,"hot lunch, science lab, uniforms",33.9494188,-84.1306346,Norcross,Georgia,GA,30093,2010,http://Alfalahacademy.com,https://www.facebook.com/AlFalahAcademySchool,,,https://www.youtube.com/watch?v=UQVm-aJToCA,,,(678) 502-7211,Info@alfalahacademy.com,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",440,"After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association",24
25,Michigan Islamic Academy ,2301 Plymouth Rd,"hot lunch, science lab, uniforms",42.3010999,-83.7193422,ANN Arbor,Michigan,MI,48105,1985,https://mia-aa.org/,https://www.facebook.com/Michigan.Islamic.Academy,https://www.instagram.com/michigan.islamic.academy/,,,,,(734) 665-8882,Mia@mia-aa.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,303,"Transportation/busing,After school clubs,Montessori curriculum/program,Tutoring Program,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Other",25
26,Islamic School of Irving,2555 Esters Rd,"science lab, uniforms",32.8434122,-97.0133188,Irving,Texas,TX,75062,1996,http://www.islamicschoolofirving.org,https://www.facebook.com/IslamicSchoolOfIrving/,,https://twitter.com/isitx,https://www.youtube.com/watch?v=GZt0yjWaAPA,,,(972) 812-2230,shahnaz.chowdhury@islamicschoolofirving.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",850,"After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association",26
27,Nur Islamic School of Louisville,6500 Six Mile Lane,"hot lunch, scholarship, science lab, uniforms",38.1972104,-85.6366274,Louisville,Kentucky,KY,40229,1999,http://www.nurislamicschool.org,https://www.facebook.com/growmindandsoul,https://www.instagram.com/learnatnisl/,https://twitter.com/growmindandsoul,https://www.youtube.com/@nurislamicschooloflouisvil9360,,,(502) 459-9447,info@nurislamicschool.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",160,"After school clubs,Character/tarbiyah program,Tutoring Program,Digital citizenship education,English Language Learner (ELL) support",27
28,"Bright Horizon Academy (Formerly, Islamic School of San Diego)",7050 Eckstrom Ave,"hot lunch, scholarship, uniforms",32.8205887,-117.1680654,San Diego,California,CA,92122,1992,http://brighthorizonacademy.org,https://www.facebook.com/islamicschoolofsandiego/,https://www.instagram.com/bha_sandiego/,,https://www.youtube.com/channel/UCAOVujLZABNe7PGQy6Ovv3w,,,(858) 278-7970,cc-admin@issdweb.org,Accredited,WASC- Western Association of Schools and Colleges,275,"Transportation/busing,After school clubs,Tutoring Program,Hifdh,Sports teams,Advanced Placement (AP),College dual credit",28
29,Greater Lansing Islamic School,940 S. Harrison road,"hot lunch, scholarship, science lab, uniforms",42.7240477,-84.4972068,East Lansing,MICHIGAN,MI,48223,1996,https://sites.google.com/a/school.lansingislam.com/main,https://www.facebook.com/GLIslamicSchool/,,,https://www.youtube.com/watch?v=VnsiwxMi3dM&t=2008s,,,(517) 332-3700,School@lansingislam.com,Accredited,Cognia- Formerly AdvancED & Measured Progress,145,"After school clubs,Special education,Tutoring Program,Debate,English Language Learner (ELL) support,Sports teams,Regional and National competitions",29
30,Andalusia School,380 Walnut Street ,N/A,40.934858,-73.8883293,Yonkers,New York,NY,10701,,http://Andalusiaschool.masuny.org,https://www.facebook.com/andalusiaschoolofficialpage/,https://www.instagram.com/andalusiaschool/,,,,,(914) 964-5600,Andalusiaoffice@masuny.org,In the process of applying,CISNA- Council of Islamic School of North America,312,"Transportation/busing,After school clubs,Sports teams",30
31,"New Horizon School, Irvine",1 Truman Street,"hot lunch, science lab, uniforms",33.6971835,-117.7687532,Irvine,California,CA,92620,2001,http://www.newhorizonirvine.org,https://www.facebook.com/nhirvine,https://www.instagram.com/nhirvine/,https://twitter.com/nhirvine,https://www.youtube.com/user/irvinenewhorizon,,,(949) 281-0054,info@nhirvine.org,Accredited,"WASC- Western Association of Schools and Colleges, CAIS",380,"Character/tarbiyah program,Digital citizenship education,Sports teams,Alumni association",31
32,Universal School,1957 Genesee Street,"hot lunch, scholarship, science lab, uniforms",42.9137481,-78.812031,Buffalo,New York,NY,14211,2001,http://www.myuniversalschool.org,https://www.facebook.com/Universal.Buffalo/,https://www.instagram.com/universal_school_buffalony/,,,,,(716) 597-0102,office@myuniversalschool.org,Accredited,MSA- Middle States Association ,179,"Transportation/busing,After school clubs,English Language Learner (ELL) support,Hifdh,College preparatory programs",32
33,Indiana Horizon Academy ,9803 Colorado Street ,"hot lunch, scholarship, uniforms",41.4396451,-87.2974061,Crown Point ,Indiana ,IN,46307,2013,http://Www.indianahorizon.org,https://www.facebook.com/indianahorizon,,,,,,(219) 796-9490,Ihacademy13@gmail.com,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",125,"Transportation/busing,After school clubs,Special education,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support",33
34,Furqaan Academy Online,401 W. Boughton Rd,N/A,41.7066162,-88.0860864,Bolingbrook,ILLINOIS,IL,60440,2022,http://online.furqaanacademy.org/,https://www.facebook.com/furqaanacademyonline,,,https://www.youtube.com/user/furqaanstudios,,,(630) 914-5015,fao@furqaanacademy.org,Not accredited,,10,"After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh",34
35,Iman Academy Southeast,825 Jetstream Court,"science lab, uniforms",29.5899995,-95.1781653,Webster,Texas,TX,77598,1996,http://www.imanacademy.org,https://www.facebook.com/ImanAcademy/,https://www.instagram.com/imanacademyse/,,https://www.youtube.com/channel/UCqXMNaga2IUr2atb0C9FpJg,,,(281) 204-8710,aliyah.harris@imanacademy.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,375,"Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",35
36,Folsom Educational Academy,381 South Lexington Dr.,N/A,38.6660999,-121.1355023,Folsom,California,CA,95630,2010,http://feaschool.com,https://www.facebook.com/FEASchool/,https://www.instagram.com/feaschool/,,,,,(916) 790-8599,principal@feaschool.com,Accredited,WASC- Western Association of Schools and Colleges,125,"Character/tarbiyah program,English Language Learner (ELL) support,Regional and National competitions",36
37,Islamic School of MET (PK-5) / Oregon Islamic Academy (6-12),P.O. Box 283,"hot lunch, scholarship, science lab, uniforms",45.5428359,-122.8192097,Portland,Oregon,OR,97207,1997,http://www.metpdx.org,https://www.facebook.com/METPDX,https://www.instagram.com/met_pdx/,https://twitter.com/MET_PDX,https://www.youtube.com/user/METVideoChannel,https://www.linkedin.com/in/met-muslim-educational-trust-a732bb10b/,https://www.flickr.com/photos/metpdx/,(503) 579-6621,admin@metpdx.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,209,"After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association",37
38,Al Fatih Academy,12300 Pinecrest Rd.,"scholarship, uniforms",38.936633,-77.376836,Reston,Virginia,VA,20191,1999,http://alfatih.org,https://www.facebook.com/alfatihacademy/,https://www.instagram.com/al_fatih_academy/?hl=en,,https://www.youtube.com/user/AlFaithAcademy,,,(703) 437-9382,info@alfatih.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",174,"After school clubs,Character/tarbiyah program,Digital citizenship education,Hifdh,Regional and National competitions,Alumni association",38
39,New African Ummah Online School,3588 Indian Spring Rd.,N/A,37.1941598,-78.3108448,Green Bay ,Virginia,VA,23942,2016,https://www.newafricanummah.net/,https://www.facebook.com/newafricanummahonlineschool/,,,,,,(804) 415-8664,michelle@newafricanummah.com,In the process of applying,Other,22,"Character/tarbiyah program,Digital citizenship education,Homeschooling support",39
40,Arizona Cultural Academy & College Prep,7810 S 42nd Place,"hot lunch, scholarship, science lab, uniforms",33.3756208,-111.9954853,Phoenix,Arizona,AZ,85042,1996,http://www.azacademy.org/,https://www.facebook.com/profile.php?id=100028131326559,https://www.instagram.com/acaazacademy/,https://twitter.com/academyarizona,https://www.youtube.com/channel/UCrTRVuE0BAzd5DSrGtIgTUQ,https://www.linkedin.com/school/arizona-cultural-academy/,,(602)600-5220,communication@azacademy.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,337,"After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Regional and National competitions,College dual credit,Alumni association",40
41,Northstar School,22502 Woodroe Ave.,N/A,37.6885825,-122.0567111,Hayward ,California,CA,94541,2002,http://www.northstarschool.org,https://www.facebook.com/northstarschool.cal,,,,,,(510) 342-9091,salwa@northstarschool.org,Accredited,WASC- Western Association of Schools and Colleges,160,Character/tarbiyah program,41
42,Unity Academy of Chicago,985 South Bartlett Road,"scholarship, uniforms",41.9709846,-88.1862801,Streamwood,ILLINOIS,IL,60107,2021,http://www.theunityacademy.org/,,https://www.instagram.com/unityacademyofchicago/,,,,,(630) 793-1301,info@theunityacademy.org,In the process of applying,"Other, American Montessori Society",40,"After school clubs,Character/tarbiyah program,Montessori curriculum/program,Hifdh,Other",42
43,CITY OF KNOWLEDGE SCHOOL ,3285 N Garey Ave,"hot lunch, scholarship, science lab, uniforms",34.1064508,-117.7518237,Pomona ,California,CA,91767,1994,http://www.cityofknowledge.com,https://www.facebook.com/cityofk?fref=ts,https://www.instagram.com/cityofknowledge/,,https://www.youtube.com/cityofknowledgeschool,,,(909) 392-0251,info@cityofknowledge.com,Accredited,WASC- Western Association of Schools and Colleges,200,"Character/tarbiyah program,Debate,English Language Learner (ELL) support,Homeschooling support,Advanced Placement (AP),College preparatory programs,Alumni association",43
44,ISLAMIC SCHOOL OF MIAMI,11699 Southwest 147th Avenue,"scholarship, uniforms",25.6590566,-80.4342899,Miami,Florida,FL,33196,2014,http://www.myisom.org,https://www.facebook.com/MiamiMasjid/,,,https://www.youtube.com/channel/UCHhfJUp84qZpGO4zav4dMVw,,,(305) 408-0400,shehnaz.bengali@myisom.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,120,"Character/tarbiyah program,Hifdh",44
45,Carriers of Light,"1607 Taft Avenue, Wheaton IL 60189","scholarship, uniforms",41.8584821,-88.0868937,Wheaton,Illinois,IL,60189,2010,http://www.carriersoflight.com/,https://www.facebook.com/CarriersofLight/,https://www.instagram.com/carriersoflightschool/,https://twitter.com/CarriersLight,https://www.youtube.com/channel/UCDFjZR14kORo9o3XprnngRw/featured?view_as=subscriber,,,(630) 949-8232,info@carriersoflight.com,Accredited,ISBE,102,"After school clubs,Character/tarbiyah program,English Language Learner (ELL) support,Hifdh",45
46,AL-HAQQ FOUNDATION ACADEMY & DAYCARE,5526 GEORGETOWN RD,N/A,39.8520463,-86.2479706,INDIANAPOLIS,Indiana ,IN,46254,2017,http://www.alhaqqfoundation.net/,https://www.facebook.com/AHFAcademy/,,,,,,(317) 929-1700,ahfacademy@gmail.com,Accredited,Indiana Board of Education,52,"Transportation/busing,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh,Homeschooling support,Other",46
47,Toledo Islamic Academy,5225 W Alexis Rd ,"hot lunch, scholarship, science lab, uniforms",41.7170213,-83.6712577,Sylvania,Ohio,OH,43560,1995,http://www.tiaus.net,https://www.facebook.com/ToledoIslamicAcademy,,,https://www.youtube.com/channel/UCXg6uSOK-7tZJB1Lpowwpaw,https://www.linkedin.com/company/toledo-islamic-academy/about/,,(419) 882-3339,principal@tiaus.net,Accredited,Cognia- Formerly AdvancED & Measured Progress,244,"Transportation/busing,Special education,Tutoring Program,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",47
48,Augusta Science Academy,1 Islamic Center Drive,"scholarship, uniforms",33.5257232,-82.116488,Martinez,Georgia,GA,30907,2018,http://augustascienceacademy.com/,https://www.facebook.com/augustascienceacademy/,,,,,,(706) 925-5715,Principal@asciencea.com,Accredited,Other,47,Other,48
49,Islah Academy ,2900 w Slauson Avenue ,"scholarship, uniforms",33.9888577,-118.3272636,Los Angeles,California,CA,90043,2014,http://islahacademy.org/,https://www.facebook.com/IslahEducationalInstitute/,https://www.instagram.com/islahacademy/?hl=en,,https://www.youtube.com/channel/UC8cXqy6AY279mR2wSk6NkVw,,,(323) 596-3456,Admin@islahacademy.org,Accredited,WASC- Western Association of Schools and Colleges,60,"After school clubs,Character/tarbiyah program,Tutoring Program,Digital citizenship education",49
50,Islamic School of Columbia- Missouri,"408 Locust Street,","hot lunch, scholarship, uniforms",38.1361231,-121.2675252,Columbia,Missouri,MO,65201,1998,http://www.theiscm.net/,https://www.facebook.com/profile.php?id=100072127607792,,,,,,(573) 442-1556,office@theiscm.net,Accredited,"CISNA- Council of Islamic School of North America, Missouri Nonpublic School Accrediting Association",53,"Alumni association,Other",50
51,ILM Academy,1200 Grimes Bridge Road,"hot lunch, scholarship, science lab, uniforms",34.0320822,-84.3469869,Roswell,Georgia,GA,30076,2008,http://ilm-academy.com/,https://www.facebook.com/ilmacademy,https://www.instagram.com/ilmacademy/,,,https://www.linkedin.com/company/ilm-academy-inc/,,(678) 624-1157,info@ilm-academy.com,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",222,"Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Digital citizenship education,Hifdh,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",51
52,RISE Academy,4415 fortran ct,"hot lunch, scholarship, science lab, uniforms",37.4210532,-121.9607231,San Jose,California,CA,95134,2010,http://www.riseacademy.education/,https://www.facebook.com/sabaacademy.org/,https://www.instagram.com/r.i.s.e.academy/,,https://www.youtube.com/watch?v=CpA6A-5epYM,,,(408) 946-5900,admin@riseacademy.education,Accredited,"Cognia- Formerly AdvancED & Measured Progress,WASC- Western Association of Schools and Colleges",200,"Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association",52
53,Islamic Academy of Kendallville ,200 Ohio street ,"hot lunch, scholarship, science lab, uniforms",43.2233797,-78.4024246,Kendallville,Indiana ,IN,46755,2021,http://islamicacademyofkendallville.org/,https://www.facebook.com/IslamicAcademyOfKendallville?mibextid=LQQJ4d,https://www.instagram.com/islamicacademyofkendallville/,,https://www.youtube.com/watch?v=fig0Z050nRg,https://www.linkedin.com/company/islamic-academy-of-kendallville/about/,,(260) 544-3055,Info@islamicacademyofkendallville.org,Accredited,Other?,50,"Transportation/busing,English Language Learner (ELL) support,Regional and National competitions",53
54,IANT Quranic Academy,840 Abrams Rd,"science lab, uniforms",32.9395907,-96.7333917,Richardson,Texas,TX,75081,2002,http://www.myiqa.org/,https://www.facebook.com/IANTQuranicAcademy/,https://www.instagram.com/myiqa/,,https://www.youtube.com/@IQAtv/videos,,,(972) 231-8451,office@myiqa.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",297,"After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh,Sports teams,Regional and National competitions,College dual credit,College preparatory programs,Alumni association",54
55,Brighter Horizons Academy,3145 Medical Plaza Dr.,"hot lunch, scholarship, science lab, uniforms",32.9467081,-96.6723175,Murphy,Texas,TX,75094,1989,http://www.bhaprep.org,https://www.facebook.com/bhacollegeprep,https://www.instagram.com/bhaprep/,https://twitter.com/bhaprep,,,,(972) 675-2062,info@bhaprep.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",935,"Transportation/busing,After school clubs,Character/tarbiyah program,International Baccalaureate (IB),Tutoring Program,Debate,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",55
