SCHOOL_NAME,SCHOOL_ADDRESS,city,state,ZIP_CODE,phone,website,CONTACT_PERSON,role,EMAIL_ADDRESS, latitude,longitude
Masjid Al Taqwa,"2181 N Lake Ave, Altadena, CA 91001",Altadena,California,91001,310-904-9288,http://altaqwamasjid.com/,Br. Mohammad Iqbal Lakhani,In Charge,milakhani21@yahoo.com,,
The Islamic Center of Anaheim,"1136 N. Brookhurst St. Anaheim, CA 92801",Anaheim,California,92801,714-999-2800,https://www.aicpca.org/,,,info@aicpca.org,,
The Islamic education School (Ties with Islamic Center of Anaheim),"1136 N. Brookhurst St. Anaheim, CA 92801",Anaheim,California,92801,714 999-2810,https://ties.aicpca.org/,,,ties@aicpca.org,,
The Islamic Shoura Council of Bakersfield,"701 Ming Ave #146, Bakersfield, CA 93307",Bakersfield,California,93307,661-303-1543,http://www.iscob.org/school.html,,,"info@iscob.org, contactus@iscob.org, amir@iscob.org",,
Al-Iman Sunday School (Yassen Foundation),"Belmont: 621 Masonic Way, Belmont, CA
 Burlingame: 1722 Gilbreth Rd, Burlingame CA",Belmont,California,94002,650-797-0681,https://www.yaseen.org/programs/al-iman-school,,Principal,principal@alimanislamicschool.org,,
Brentwood Muslim Community Center - (Weekend School),"7701 Lone Tree Way Brentwood, CA 94513",Brentwood,California,94513,925-298-2622,https://brmcc.org/#,Fahim Choudhary,In Charge,info@brmcc.org,,
Hikmah School (Brentwood Muslim Community Center),"7701 Lone Tree Way Brentwood, CA 94513",Brentwood,California,94513,925-298-2622,https://hikmahschool.com/,Fahim Choudhary,In Charge,info@hikmahschool.com,,
Darul Islam,"2449 Buena Vista Avenue, Walnut creek, CA 94597",Walnut Creek,California,94597,925-482-0077,https://www.darulislam.org/sunday-school/,,,school@darulislam.org,,
Islamic Education Center of Orange County,"3194-B Airport Loop Drive, Costa Mesa, CA 92626",Costa Mesa,California,92626,714 - 432-0060,https://iecoc.org/school/,Dr. Sayed Moustafa al-Qazwini,"Founder, Director & Imam",info@iecoc.org,,
Prime Years Academy,"495 Santana Way Corona, Riverside County 92881",Corona,California,92881,"951-561-3643, 
951-256-0556",https://www.primeyearsacademy.com,,,director.primeyears@yahoo.com,,
ISCN Learning Center,"495 Santana Way Corona, Riverside County 92881",Corona,California,92881,"951-264-6739, 
951-582-1658",https://www.tlc-corona.org/,"Ms. Aniqa Janjua, 
Ms. Sabean Delaney","School Director & Principal,
School Manager","schooldirector.tlc@gmail.com​, 
admin.tlc@coronamuslims.com",,
Islamic Society of Folsom,"1835 Prairie City Rd, Folsom, CA 95630",Folsom,California,95630,(916)294-3047,http://masjidbilal.com,Dr. Dale Hamad,In Charge,,,
Sunday School - Islamic Society of East Bay,"33330 Peace Terrace, Fremont, CA 94555",Fremont,California,94555,"408 309 3798
510 673 6298",http://sundayschooliseb.com/,,,sundayschooliseb@sundayschooliseb.com,,
Sunday Islamic School of Fremont,"ILM Academy at 42412 Albrae Ave, Fremont, CA. 94538.",Fremont,California,94538,408-309-3798,https://sites.google.com/sisfonline.com/home/,Mr. Imtiaz,Principal,imtiaz622@gmail.com,,
Masjid Fresno Islamic Center,"2111 E Shaw Ave, Fresno, CA, 93710",Fresno,California,93710,559-222-6686,https://www.masjidfresno.org/,Seikh Ramadan,Imam,"sheikhramadan@gmail.com,
imammasjidfresno@gmail.com,",,
Masjid Badr Sierra Community Center,"7150 North Milburn Ave. Fresno, CA 93722",Fresno,California,93722,559-478-7721,https://www.masjidbadr.org/,,,info@masjidbadr.org,,
Islamic Center of Hawthorne,"12209 Hawthorne Way Hawthorne, CA 90250",Hawthorne,California,90250,310-973-8000,https://ichla.org/services/weekend-school/,,,"ichsaturdayschool@yahoo.com, 
sundayschool.ich@gmail.com",,
Islamic Center of Irvine,"2 Truman, Irvine, CA 92620",Irvine,California,92620,949-336-3977,https://www.icoi.net/aim-weekend-school/,Ms. Mehnaz Piracha,Director,ws@icoi.net,,
Masjid Madera,"16634 Road 26 Madera, Ca 93638",Madera,California,93638,(559) 885-3400,http://www.masjidmadera.com,Abdullah,In Charge,masjidmadera@gmail.com,,
Masjid Darus Salam,374 Turquoise St Milpitas CA 95035,Milpitas,California,95035,408-786-9658,https://alhilaal.org,,,info@alhilaal.org,,
Orange County Islamic Foundation,"23581 Madero Ste. # 101, Mission Viejo, CA 92691",Mission Viejo,California,92691,(949) 595-0480,https://www.ocif.org/weekend-school-2/,,,admin@ocif.org,,
Al Nur Islamic Center,4959 Palo Verde St. Suite 205-C,Montclair,California,91763,626-378-8156,https://www.alnuric.org/,,,admin@alnooric.org,,
Mus'ab Ibn Umayr School,"2700 Borchard Road, Newbury Park, CA 91320",Newbury,California,91320,805-499-2106,https://iccv.org/miu-school,Imam Muhammed Shoayb Mehtar,Principal,"MIUschool@gmail.com, iccvnews@gmail.com",,
Islamic Center of Ventura County,"271Riverpark Blvd Oxnard,CA.93036",Oxnard,California,93036,"805-427-2081,
805-351-5999",https://icovc.org/classes/,Br. Abul Saleh,Coordinator,"hasnatsaleh@ yahoo.com, info@icovc.org",,
MCC Sunday School (Muslim Community Center of East Bay),"5724 W Las Positas Blvd #300, Pleasanton, CA 94588",Pleasanton,California,94588,925 485 1786,https://www.mccsundayschool.org,Shaima Rahmani,Principal,principal@mccsundayschool.org. info@mccsundayschool.org,,
Ahlul Beyt Mosque,2155 Murchison Ave.,Pomona,California,91768,909-622-9158,https://www.ahlulbeyt.net/ahlul-beyt-school/,,,,,
Islamic Center of South Bay,"25816 Walnut St, Lomita, CA 90717",Lomita,California,90717,(310) 534-1363,https://masjidalnoor.org/alnoor-islamic-weekend-school/,"Qari Anas Daghameen,
Ehtesham Mirza, 
Abed Bellouche","Imam, 
President, 
COO","imamanas@masjidalnoor.org, 
mirza@masjidalnoor.org, 
abed@masjidalnoor.org",,
Islamic Center of Southern California,"434 S. Vermont Ave. Los Angeles, CA 90020",Los Angeles,California,90020,213 382 9200,https://www.islamiccenter.com/,Hadir Elsayad,Head of Sunday School,"sundayschool@islamiccenter.com, 
info@islamiccenter.com",,
Masjid Annur Islamic Center,"6990 65th St, Sacramento, CA 95828",Sacramento,California,95828,(916) 392 6687,https://www.masjidannur.com/services/annur-sunday-school,,,"EducationDirector@masjidannur.com, secretary@masjidannur.com",,
Islamic Center of Riverside,"1038 W Linden St, Riverside, CA 92507",Riverside,California,92507,(951) 732-7641,https://www.islamiccenterofriverside.net/sunday-school,,,Info@masjidriverside.org,,
Islamic Center of San Gabriel Valley,"19164 E. Walnut Dr. North, Rowland Heights, CA 91748",Rowland Heights,California,91746,626 964 3596,https://www.icsgv.com/weekend-islamic-school/,Rashed Mohammadi,Principal,administration@icsgv.com,,
Salam Weekend School (Sacramento Area League of Associated Muslims),"4545 College Oak Dr, Sacramento, CA 95841",Sacramento,California,95841,916-979-1933 Ext 3,https://salamcenter.org/salam-weekend-school/,Ossama Elsebai,Facility Director,"facilitiesdirector@salamcenter.org, 
officemanager@salamcenter.org,",,
Islamic Center of Reseda,"18206 Victory Boulevard, Reseda, CA",Reseda,California,91335,818-697-2990,https://islamiccenterofreseda.com/weekend-school/,Sis. Shirin Karoon,Principal,icreseda1@aol.com,,
Islamic Center od San Francisco,"400 Crescent Ave, San Fransico",Sanfrancisco,California,94110,415.624.3754,https://www.icofsf.org,,,icofsf@gmail.com,,
Islamic education Center of San Diago,8977 Activity Rd. Suite 103,San Diago,California,92126,858-689-8888,http://www.iecsd.com,,,"Imam@Iecsd.com, Info@iecsd.com",,
Al Rashid School (Islamic Center of San Diago),"7050 Eckstrom Ave, San Diego",San Diago,California,92111,858-278-5240,https://www.icsd.org/al-rashid-school.html,,,"admin@alrashid.icsd.org, admin@icsd.org",,
Noor Al Islam School (Masjid Noor Al Islam),"118 Jones Street, San Francisco CA 94102",San Francisco,California,94102,(415) 292-9709,https://www.alsabeel.org/,,,alsabeel@alsabeel.org,,
Mosque of San Gabriel,"1301 East Las Tunas Drive, San Gabriel, California 91775",San Gabriel,California,91775,(626) 285-2697,https://www.masjidgibrael.org/sunday-school/,,,masjidgibrael1301@gmail.com,,
SAB Sunday School (Saba islamic center),"4415 Fortran Ct, San Jose, CA 95134",San Jose,California,95134,(408) 946-5700,https://www.saba-igc.org/,Dr. Nabi Raza Abidi,"School Admin, 
Imam, 
General Inquiries","sab-admin@saba-igc.org, 
aalim@saba-igc.org, 
saba@saba-igc.org",,
Alqarawiyyeen Schools (Blossom Valley Muslim Community Center),"5885 Santa Teresa Blvd. #113 ,
 San Jose, CA 95123",San Jose,California,95123,"408-588-1717, 
408-362-0903",https://www.bvmcc.org,,"School, 
President, 
Treasurer, 
Secretary","Info@alqarawiyyeenschools.com, 
president@bvmcc.org, 
treasurer@bvmcc.org, 
secretary@bvmcc.org",,
South Bay Islamic Association,"2345 Harris Way, San Jose, CA 95131",San Jose,California,95131,,https://sbia.info/,,"School, 
Director, 
Trustee","sbiais@sbia.info, 
directors@sbia.info, 
trustees@sbia.info",,
South Valley Islamic Center,"Morgan Hill Grange, 40 E 4th St, Morgan Hill, CA 95037",Morgan Hill,California,95037,"Morgan Hill Grange, 40 E 4th St, Morgan Hill, CA 95037",https://svic.org/islamic-school/,,,svic@svic.org,,
San Ramon Valley Islamic Center,"2232 Camino Ramon, San Ramon, CA 94583",San Ramon,California,94583,925-380-6432,https://srvic.org/islamic-school/,"Nasira Sharieff, 
Sr. Hasiba Sareshwala",,hasiba@SRVIC.org,,
Imammia Education Center,"2110 East 1 St Street, Suite 102-103, and 105 , Santa Ana , Ca. 92705",Santa Ana,California,92705,(714) 524-5580,https://www.imamia.org,,,aamithani@yahoo.com,,
Islamic Society of Santa Barbara,"302 N. Los Carneros Road, Goleta, CA 93117",Goleta,California,93117,805-317-4277,https://islamsb.org/take-a-class/,,,contactissb@gmail.com,,
Muslim Community Association,"3003 Scott Blvd, Santa Clara, CA 95054",Santa Clara,California,95054,(408) 727-7277 ext 413,https://mcabayarea.org/weekend-islamic-school/,,,wis@mcabayarea.org,,
Islamic Center of Temecula Valley,"31061 Nicolas Road, Temecula, CA 92591",Temecula,California,92591,(888) 232-2288,https://icotv.org/,Br. Bahjat Akari,Education Comitee Chairperson,education@icotv.org,,
Tracy Islamic Center,"11970 W. Larch Road, Tracy, CA 95304",Tracy,California,95304,209-830-6286,https://www.tracyislamiccenter.org/services/sunday-school/,,,school@tracyislamiccenter.org,,
Jafaria Islamic Society,"1546 E La Palma Ave, Anaheim, CA 92805",Anaheim,California,92805,"323-854-6122, 562-965-7900, 310-780-8499",https://jafaria.org/school/,"Musawir Jafri, 
Shehla Zaidi, 
Samina Hasan",,info@jafaria.org,,
Darul Falah Islamic Center,14712 Bentley Circle Tustin CA 92780,Tustin,California,92780,949-466-2740,https://tustinmasjid.com/,,,"dufprograms@gmail.com, 
info@tustinmasjid.com, 
dfmasjid786@yahoo.com",,
Islamic Community of Slinas,"35 West Market, ST Salinas, CA",Salinas,California,93901,831-272-4885,https://www.icsalinas.org/school,,,imam@icsalinas.org,,
Islamic Association of Greater Hartford Weekend School (Berlin Mosque),"1781 Wilbur Cross Highway Berlin, CT 06037",Berlin,Connecticut,6037,860-829-6411,https://www.berlinmosque.org/sunday-school/,,,iaghweekendschool@gmail.com,,
Bridgeport Islamic Community Center,"703 State Street, Bridgeport, CT 06604",Bridgeport,Connecticut,6604,(203)870-1729,https://www.mybicc.org/,,,education@mybicc.org,,
Clara Muhammad School (Muhammad Islamic Center of Greater Hartford),"155 Hungerford St, Hartford, CT 06106",hartford,Connecticut,6106,(860) 728 8646,https://micgh.org,,,taqwanct@aol.com,,
Islamic Center of Conneticut,"140 White Rock Dr Windsor, CT 06095",Windsor,Connecticut,6095,1-844-623-4621,http://icct.org/sunday-school/,Muhammad Suleiman,Principal,sundayschool@icct.org,,
The Islamic Association of Central Connecticut,"100 Arch St, New Britain, CT 06051",New Britain,Connecticut,6051,1 860-348-5733,https://taqwact.org/services/weekend-school/,,,info@taqwact.org,,
Stamford Islamic Center,"379 West Ave Stamford, CT 06902",Stamform,Connecticut,6902,203-504-2800,http://stamfordislamiccenter.com,,,info@stamfordislamiccenter.com,,
Masjid Al Mustafa,"95 Schraffts Drive. Waterbury, CT 06705",Waterbury,Connecticut,6705,(203) 597-7676,https://www.iasconnect.org,,,"masjid_almustafa@att.net, Iasconnect@sbcglobal.net",,
New Haven Islamic Center,"254 Bull Hill Lane Orange, CT 06477",Orange,Connecticut,6577,203-933-5799,https://www.nhicct.org/,,,info@nhicct.org,,
Childern Educational Program (Islamic Society of Central Delawere),"777 S. Little Creek Road Dover, DE 19901.",Dover,Delawere,19901,302-943-3659,https://cepdelaware.com/,Muniza Iftekhar,Incharge,cep.delaware@gmail.com,,
Islamic Society of Delawere (Masjid Ibrahim),28 Salem Church Rd. Newark DE 19713,Newark,Delawere,19713,302-733-0373 Ext 8,https://www.isdonline.org/sunday-school,Br. Emad Ahmed,Incharge,sundayschool@isdonline.org,,
First Hijrah Foundation,"4324 Georgia Ave NW, Washington, DC 20011",Washington,District of Columbia,20011,(202) 450-1163,https://firsthijrah.org,,,info@firsthijrah.org,,
Islamic Center of Boca Raton,"3480 NW 5th Ave, Boca Raton, FL 33431",Boca Raton,Florida,33431,561-395-7221,https://icbr.org/,,,masjid@icbr.org,,
The Islamic Center of Daytona Beach,"347 S. Keech St.Daytona Beach, FL",Daytona Beach,Florida,32114,(386) 252-3501,https://ic-db.weebly.com/,Administrator,,,,
Islamic Society of Central Florida,"1586 N. Goldenrod Road, Orlando, FL 32807",Orlando,Florida,32802,407-273-8363,https://iscf.org/education/wize/,,,,,
Association of Islamic Charitable Projects,"2820 Griffin Rd, Fort Lauderdale, FL 33312",Fort lauderdale,Florida,33312,(954) 986-1373,https://www.aicp.org/,,,,,
Masjid Al Iman,"2542 Franklin Dr, Fort Lauderdale, Florida 33311",Fort lauderdale,Florida,33311,1-954-581-6295,https://masjidaliman.com/,,,office@masjidaliman.com,,
Hoda Center,"5220 SW 13th Street
 Gainesville, FL 32608",Gainesville,Florida,32608,1 352-377-8080,https://hodacenter.org/,Administrator,,"hodacentersundayschool@gmail.com, 
 hodacenter@hotmail.com",,
Islamic Jaffaria Association,"10554 NW. 132nd Street, Hialeah Gardens, FL 33018",Hialeah Gardens,Florida,33018,305-557-6835,https://www.ijamiami.org/,,,taqi@ijamiami.org,,
Islamic Movement of Florida,"3201 N 74th Avenue, Hollywood, FL 33024",Hollywood,Florida,33024,(954) 894-9110,https://www.imof.org/,,,info@imof.org,,
Islamic Center of Northeast Florida,"2333 St Johns Bluff Rd S, Jacksonville, FL 32246",Jacksonville,Florida,32246,904 646 3462,https://icnef.org/,,,info@icnef.org,,
Masjid Taqwa,"2417 N Central Ave, Kissimmee, FL 34741",Kissimmee,Florida,34741,321-219-7869,https://masjidtaqwa.org/,,,info@masjidtaqwa.org,,
Masjid As-Sunnah,"1535 S Hoagland Blvd, Kissimmee, FL, United States, Florida",Kissimmee,Florida,34746,407-935-0337,https://masjidassunnah-fl.com/,,,webmaster@masjidassunnah-fl.com,,
Islamic Sunday School at Islamic Center of Greater Miami,"4305 NW 183rd St, Miami Gardens, FL 33055",Miami Gardens,Florida,33055,"(305) 624‑5555, 
(954) 397‑2013",https://www.sundayschoolaticgm.com/,,,sundayschool.icgm@gmail.com,,
Islamic Center of Orange park,"158 College Dr. Orange Park, FL 32065",Orange Park,Florida,32065,(904) 330 4847,https://icopfl.org/,,,icopfl786@gmail.com,,
Islamic Center of Orlando,"11543 Ruby Lake Road, Orlando, FL 32836",Orlando,Florida,32836,689 280 4402,https://www.icorlando.org/,,,info@icorlando.org,,
Islamic Society of Pinellas County,"PO Box 494 Pinellas Park, FL 33780",Pinellas Park,Florida,33780,1 727-546-3162,https://ispc-fl.org/,,,info@ispc-fl.org,,
Nur Academy (Islamic Society of Sarasota Beadenton),"4350 North Lockwood Ridge Road, Sarasota, Florida 34234",Sarasota,Florida,34234,(941)-343-3038,https://nur-academy.org/,,,,,
Masjid Al Sunnah,"2400 6th St S, StPetersburg, FL 33705",St. Petesburg,Florida,33705,727 288 3636,https://isspmosque.com/,,,"Info@arqamsacademy.com, 
Admin@isspmosque.com",,
Islamic Foundation of South Florida,"5455 NW 108 Ave. Sunrise, FL 33351",Sunrise,Florida,33351,(954) 213-8897,https://ifsf.net/,,,,,
Islamic Community of Tallahassee,"3617 Old Bainbridge Rd, Tallahasee, FL 32303",Tallahasee,Florida,32303,(850) 514-0100,https://ictallahassee.org/,,,wist@ictallahassee.org,,
Hifz Weekend School (Islamic Society of Tampa Bay),"7326 E. Sligh Ave. Tampa, FL 33610",Tampa,Florida,33610,"813-628–0020, 813-628-0007",https://www.istaba.org/,Sr. Mariam Razak,,mainoffice@istaba.org,,
Muslim Community of Palm Beach County,"4893 Purdy Lane, West Palm Beach, FL 33415",West Paml Beach,Florida,33415,561-969-1584,https://mcpbc.org/,Imam,,"imam@mcpbc.org, 
info@mcpbc.org",,
Hamza Islamic Center,"665 Tidwell Rd, Alpharetta, GA 30004",Alpharetta,Georgia,30004,(770) 558-3519,https://www.masjidhamzah.com/,"Umar Mohamed Ibrahim, Khalid Bouanani","General Secretary, Facility Director","GeneralSecretary@masjidhamzah.com, 
FacilityDirector@masjidhamzah.com",,
Masjid Al-Taqwa,"Masjid AttaTaqwa, 2680 Golfside Rd, Ann Arbor, MI 48108",Ann Arbor,Michigan,48108,(734)-829-8380,https://masjidattaqwa.org/,Seikh Ahmed,In Charge,Masjidattaqwaaa@gmail.com,,
Dar-un-Noor Sunday School,"434 Fourteen Street, Atlanta, GA 30318",Atlanta,Georgia,30318,404-454-5500,https://dunsundayschool.wordpress.com/,Principal,,dunsundayschool@yahoo.com,,
Masjid Quba,"5698 HIGHWAY 20 SE, SUITE E, CARTERSVILLE, GA 30121",CARTERSVILLE,Georgia,30121,678-719-9770,http://iccga.org/,,,nfo@iccga.org,,
Dar-E-Abbas,"5064 LAWRENCEVILLE HIGHWAY, LILBURN, GA 30047",Lilburn,Georgia,30047,(404) 277-5295,http://dareabbas.com/,Masoud Naqvi,Principal,,,
Masjid Omar,"955 Harbins Road Lilburn, GA 30047",Lilburn,Georgia,30047,404-955-0625,https://masjidomar.org/,Sister Noor,,info@masjidomar.org,,
East Cobb Islamic Center,"East Cobb Islamic Center 1111 Braswell Rd.Marietta, GA 30062",Marietta,Georgia,30062,(678) 528-1414,https://www.ec-ic.org/,,,info@ec-ic.org,,
Masjid-Ibad-Ur- Rahman,"2440 Sandy Plains Rd, Building #15, Marietta, Ga 30066",Marietta,Georgia,30066,678-560-3398,https://www.ibad-ur-rahman.org/,,,"masjid@ibad-ur-rahman.org, 
imaam@ibad-ur-rahman.org",,
Roswell Community Masjid,"345 Market Pl, Roswell, GA 30075,",Roswell,Georgia,30075,770-640-1411,https://roswellmasjid.org/,,,info@roswellmasjid.org,,
