"organization_name","address","city","state","zipcode","phone","website","contact_person","role","contact_email","latitude","longitude"
"Islamic Society of Pinellas County","Pinellas Park, FL 33780","Pinellas Park","Florida",33780,"1 727-546-3162","https://ispc-fl.org/","","","info@ispc-fl.org",27.8428057,-82.7055625
"Nur Academy (Islamic Society of Sarasota Beadenton)","4350 N Lockwood Ridge Rd, Sarasota, FL 34235","Sarasota","Florida",34234,"(941)-343-3038","https://nur-academy.org/","","","",27.3723722,-82.50408949999999
"Masjid Al Sunnah","2400 6th St S, St. Petersburg, FL 33705","St. Petesburg","Florida",33705,"727 288 3636","https://isspmosque.com/","","","Info@arqamsacademy.com, 
Admin@isspmosque.com",27.7462998,-82.6399307
"Islamic Foundation of South Florida","5455 NW 108th Ave, Sunrise, FL 33351","Sunrise","Florida",33351,"(954) 213-8897","https://ifsf.net/","","","",26.190879,-80.2940936
"Islamic Community of Tallahassee","3617 Old Bainbridge Rd, Tallahassee, FL 32303","Tallahasee","Florida",32303,"(850) 514-0100","https://ictallahassee.org/","","","wist@ictallahassee.org",30.502387,-84.3387782
"Hifz Weekend School (Islamic Society of Tampa Bay)","7326 E Sligh Ave, Tampa, FL 33610","Tampa","Florida",33610,"813-628–0020, 813-628-0007","https://www.istaba.org/","Sr. Mariam Razak","","mainoffice@istaba.org",28.0114183,-82.37406879999999
"Muslim Community of Palm Beach County","4893 Purdy Ln, West Palm Beach, FL 33415","West Paml Beach","Florida",33415,"561-969-1584","https://mcpbc.org/","Imam","","imam@mcpbc.org, 
info@mcpbc.org",26.6449815,-80.119384
"Hamza Islamic Center","665 Tidwell Rd, Alpharetta, GA 30004","Alpharetta","Georgia",30004,"(770) 558-3519","https://www.masjidhamzah.com/","Umar Mohamed Ibrahim, Khalid Bouanani","General Secretary, Facility Director","GeneralSecretary@masjidhamzah.com, 
FacilityDirector@masjidhamzah.com",34.1173535,-84.2485897
"Masjid Al-Taqwa","2680 Golfside Rd, Ann Arbor, MI 48108","Ann Arbor","Michigan",48108,"(734)-829-8380","https://masjidattaqwa.org/","Seikh Ahmed","In Charge","Masjidattaqwaaa@gmail.com",42.2491593,-83.66134629999999
"Dar-un-Noor Sunday School","434 14th St NW, Atlanta, GA 30318","Atlanta","Georgia",30318,"404-454-5500","https://dunsundayschool.wordpress.com/","Principal","","dunsundayschool@yahoo.com",33.7852811,-84.4014297
"Masjid Quba","at Texaco, 5698 Hwy 20 SE, Cartersville, GA 30121","CARTERSVILLE","Georgia",30121,"678-719-9770","http://iccga.org/","","","nfo@iccga.org",34.2097593,-84.7585675
"Dar-E-Abbas","5064 Lawrenceville Hwy, Lilburn, GA 30047","Lilburn","Georgia",30047,"(404) 277-5295","http://dareabbas.com/","Masoud Naqvi","Principal","",33.8889005,-84.1483832
"Masjid Omar","955 Harbins Rd NW, Lilburn, GA 30047","Lilburn","Georgia",30047,"404-955-0625","https://masjidomar.org/","Sister Noor","","info@masjidomar.org",33.8990973,-84.1700968
"East Cobb Islamic Center","1111 Braswell Rd, Marietta, GA 30062","Marietta","Georgia",30062,"(678) 528-1414","https://www.ec-ic.org/","","","info@ec-ic.org",33.9785234,-84.48696199999999
"Masjid-Ibad-Ur- Rahman","2440 Sandy Plains Rd Building #15, Marietta, GA 30066","Marietta","Georgia",30066,"678-560-3398","https://www.ibad-ur-rahman.org/","","","masjid@ibad-ur-rahman.org, 
imaam@ibad-ur-rahman.org",34.0090483,-84.49499449999999
"Roswell Community Masjid","345 Market Pl, Roswell, GA 30075","Roswell","Georgia",30075,"770-640-1411","https://roswellmasjid.org/","","","info@roswellmasjid.org",34.0304729,-84.34019579999999
