directory_organization_id,unique_id,name,address,city,state,zip_code,country,phone,website,email_primary,contact_person,contact_person_role,latitude,longitude,map_object_id,is_imported,is_active
15,25cd7f23-116b-43ae-bf1d-9e34fe5df0cf,South Denver Islamic Center,"Greenwood Village, CO 80155",Green Wood,Colorado,80155,United States,720-772-7342,https://www.khadeejah.org/,,Mohammad Waseem Khan,President,39.5969612,-104.8603104,15,1,1
16,8ae0e55b-d619-4acc-bb45-e181afa80d66,Cresent View Academy,"10958 E Bethany Dr, Aurora, CO 80014",Aurora,Colorado,80014,United States,(303) 745-2245,http://crescentview.org/,info@crescentview.org,Iyad Wazwaz,Principal,39.6628965,-104.8608766,16,1,1
17,ac858acc-f57b-48be-859c-5041713c6fc1,Metropolitan Denver North Islamic Center,"11141 Irma Dr, Northglenn, CO 80233",Northglenn,Colorado,80233,United States,303-920-0252,www.masjidikhlas.org,ikhlasacademy@masjidikhlas.org,,,39.8982844,-104.966958,17,1,1
18,53908f45-006c-4016-b77a-00d21a8a9f88,Quba Masjid,"Hayes, UK",Alameda,California,94550,United States,44(0) 208 150 9299,https://www.qubamasjid.com/qubamadrasah/,info@qubamasjid.com,,,51.516758,-0.436786,18,1,1
19,360ace92-076f-4846-b63d-4aaa1a0b356a,Masjid Al Taqwa,"2181 Lake Ave, Altadena, CA 91001",Altadena,California,91001,United States,310-904-9288,http://altaqwamasjid.com/,milakhani21@yahoo.com,Br. Mohammad Iqbal Lakhani,In Charge,34.1833803,-118.1318577,19,1,1
20,416cbc81-13f4-47f7-9424-b5e303442eeb,The Islamic Center of Anaheim,"1136 N Brookhurst St, Anaheim, CA 92801",Anaheim,California,92801,United States,714-999-2800,https://www.aicpca.org/,info@aicpca.org,,,33.8486191,-117.9588111,20,1,1
21,ce457dea-3bec-4e10-95dc-417f368069c8,The Islamic education School (Ties with Islamic Center of Anaheim),"1136 N Brookhurst St, Anaheim, CA 92801",Anaheim,California,92801,United States,714 999-2810,https://ties.aicpca.org/,ties@aicpca.org,,,33.8486191,-117.9588111,21,1,1
22,2da446bc-bb6a-4de9-8a7c-ab170a7dc570,The Islamic Shoura Council of Bakersfield,"701 Ming Ave #146, Bakersfield, CA 93307",Bakersfield,California,93307,United States,661-303-1543,http://www.iscob.org/school.html,info@iscob.org,,,35.3392281,-119.0101214,22,1,1
23,669359c5-d2ff-4aa2-b006-6f3cc779d93e,Al-Iman Sunday School (Yassen Foundation),"1722 Gilbreth Rd, Burlingame, CA 94010",Belmont,California,94002,United States,650-797-0681,https://www.yaseen.org/programs/al-iman-school,principal@alimanislamicschool.org,,Principal,37.599325,-122.3740648,23,1,1
24,c84386d8-1a1e-4411-a517-e56078b0d8a3,Brentwood Muslim Community Center - (Weekend School),"7701 Lone Tree Wy, Brentwood, CA 94513",Brentwood,California,94513,United States,925-298-2622,https://brmcc.org/#,info@brmcc.org,Fahim Choudhary,In Charge,37.9612158,-121.7105947,24,1,1
25,fa857088-abb9-4334-ba7e-d72aea3af210,Hikmah School (Brentwood Muslim Community Center),"7701 Lone Tree Wy, Brentwood, CA 94513",Brentwood,California,94513,United States,925-298-2622,https://hikmahschool.com/,info@hikmahschool.com,Fahim Choudhary,In Charge,37.9612158,-121.7105947,25,1,1
26,d8b05e24-4842-4aab-a20e-9970bcb08f96,Darul Islam,"2449 Buena Vista Ave, Walnut Creek, CA 94597",Walnut Creek,California,94597,United States,925-482-0077,https://www.darulislam.org/sunday-school/,school@darulislam.org,,,37.9135327,-122.0732028,26,1,1
27,23015ce4-a535-4b69-b0cf-6aaebe34dc4f,Islamic Education Center of Orange County,"3194 Airport Loop Dr b, Costa Mesa, CA 92626",Costa Mesa,California,92626,United States,714-432-0060,https://iecoc.org/school/,info@iecoc.org,Dr. Sayed Moustafa al-Qazwini,Founder,33.6842713,-117.8667285,27,1,1
28,653934ad-332e-44ff-b493-bdafcce2a515,Prime Years Academy,"495 Santana Way, Corona, CA 92881",Corona,California,92881,United States,951-561-3643,https://www.primeyearsacademy.com,director.primeyears@yahoo.com,,,33.8511327,-117.5618038,28,1,1
29,d6c1f68c-46df-4e7e-9150-2990424b6730,ISCN Learning Center,"495 Santana Way, Corona, CA 92881",Corona,California,92881,United States,951-264-6739,https://www.tlc-corona.org/,schooldirector.tlc@gmail.com​,Ms. Aniqa Janjua,School Director & Principal,33.8511327,-117.5618038,29,1,1
30,bbf3b533-8b02-4993-b6f9-059d2a5e5d63,Islamic Society of Folsom,"1835 Prairie City Rd, Folsom, CA 95630",Folsom,California,95630,United States,(916)294-3047,http://masjidbilal.com,,Dr. Dale Hamad,In Charge,38.6523393,-121.1656249,30,1,1
31,5d2b58a6-c80e-4e62-ab6f-bea58c182025,Sunday School - Islamic Society of East Bay,"33330 Peace Terrace, Fremont, CA 94555",Fremont,California,94555,United States,408 309 3798,http://sundayschooliseb.com/,sundayschooliseb@sundayschooliseb.com,,,37.5808282,-122.0547467,31,1,1
32,ee09955a-4adc-4b35-91ab-394cdc5bc062,Sunday Islamic School of Fremont,"42412 Albrae St, Fremont, CA 94538",Fremont,California,94538,United States,408-309-3798,https://sites.google.com/sisfonline.com/home/,imtiaz622@gmail.com,Mr. Imtiaz,Principal,37.5093342,-121.9718158,32,1,1
33,a62fe9b9-1a14-4f26-b4c3-93872f83ad26,Masjid Fresno Islamic Center,"2111 E Shaw Ave, Fresno, CA 93710",Fresno,California,93710,United States,559-222-6686,https://www.masjidfresno.org/,sheikhramadan@gmail.com,Seikh Ramadan,Imam,36.808313,-119.7517292,33,1,1
34,ade3ee77-f1b6-4895-9c55-1ca998b70cba,Masjid Badr Sierra Community Center,"7150 N Milburn Ave, Fresno, CA 93722",Fresno,California,93722,United States,559-478-7721,https://www.masjidbadr.org/,info@masjidbadr.org,,,36.83916420000001,-119.8783564,34,1,1
35,d5676e70-5b2a-4af8-9c28-95620a925cfc,Islamic Center of Hawthorne,"12209 Hawthorne Way, Hawthorne, CA 90250",Hawthorne,California,90250,United States,310-973-8000,https://ichla.org/services/weekend-school/,ichsaturdayschool@yahoo.com,,,33.921749,-118.3538195,35,1,1
36,2f9f6578-6397-4523-9c7c-32091d15c885,Islamic Center of Irvine,"2 Truman St, Irvine, CA 92620",Irvine,California,92620,United States,949-336-3977,https://www.icoi.net/aim-weekend-school/,ws@icoi.net,Ms. Mehnaz Piracha,Director,33.6964995,-117.765507,36,1,1
37,d6ec975d-0dde-4bd7-9b60-0cc51c6ebc3a,Masjid Madera,"16634 Rd 26, Madera, CA 93638",Madera,California,93638,United States,(559) 885-3400,http://www.masjidmadera.com,masjidmadera@gmail.com,Abdullah,In Charge,36.9910784,-120.0746963,37,1,1
38,cf6df355-53da-4f87-b24a-d6d8be13ab99,Masjid Darus Salam,"374 Turquoise St, Milpitas, CA 95035",Milpitas,California,95035,United States,408-786-9658,https://alhilaal.org,info@alhilaal.org,,,37.42669,-121.8961936,38,1,1
39,7fab4736-4a2d-474c-8515-d73f395b8286,Orange County Islamic Foundation,"23581 Madero #101, Mission Viejo, CA 92691",Mission Viejo,California,92691,United States,(949) 595-0480,https://www.ocif.org/weekend-school-2/,admin@ocif.org,,,33.6205731,-117.6758662,39,1,1
40,c74891a1-313e-48f9-8404-815408c2c811,Al Nur Islamic Center,"Palo Verde professional building, 4959 Palo Verde St 205 c, Montclair, CA 91763",Montclair,California,91763,United States,626-378-8156,https://www.alnuric.org/,admin@alnooric.org,,,34.0809153,-117.6967865,40,1,1
41,2894fe57-1343-4c7b-a6fb-046ea9509cac,Mus'ab Ibn Umayr School,"2700 Borchard Rd, Thousand Oaks, CA 91320",Newbury,California,91320,United States,805-499-2106,https://iccv.org/miu-school,MIUschool@gmail.com,Imam Muhammed Shoayb Mehtar,Principal,34.1784069,-118.9334633,41,1,1
42,f1a7f1ed-78fb-44a4-abd0-ead823344583,Islamic Center of Ventura County,"271 Riverpark Blvd, Oxnard, CA 93036",Oxnard,California,93036,United States,805-427-2081,https://icovc.org/classes/,hasnatsaleh@ yahoo.com,Br. Abul Saleh,Coordinator,34.2348802,-119.1740305,42,1,1
43,44892d7b-f5cd-4c8d-a668-6d2be68b28bb,MCC Sunday School (Muslim Community Center of East Bay),"5724 W Las Positas Blvd #300, Pleasanton, CA 94588",Pleasanton,California,94588,United States,925 485 1786,https://www.mccsundayschool.org,principal@mccsundayschool.org. info@mccsundayschool.org,Shaima Rahmani,Principal,37.6855153,-121.8911505,43,1,1
44,4d124050-6c69-4da4-b80a-74d24e3f53ee,Ahlul Beyt Mosque,"2155 Murchison Ave, Pomona, CA 91768",Pomona,California,91768,United States,909-622-9158,https://www.ahlulbeyt.net/ahlul-beyt-school/,,,,34.0717853,-117.7901775,44,1,1
45,72f1662e-5e58-424a-857c-3750b0dc0e46,Islamic Center of South Bay,"25816 Walnut St, Lomita, CA 90717",Lomita,California,90717,United States,(310) 534-1363,https://masjidalnoor.org/alnoor-islamic-weekend-school/,imamanas@masjidalnoor.org,Qari Anas Daghameen,Imam,33.788886,-118.311697,45,1,1
46,58e288cb-0a4f-4f78-b992-cd56ef7c2f95,Islamic Center of Southern California,"434 S Vermont Ave, Los Angeles, CA 90020",Los Angeles,California,90020,United States,213 382 9200,https://www.islamiccenter.com/,sundayschool@islamiccenter.com,Hadir Elsayad,Head of Sunday School,34.0664608,-118.2912604,46,1,1
47,3e0e178c-9c08-42c1-91d1-baa3037ca21a,Masjid Annur Islamic Center,"6990 65th St, Sacramento, CA 95823",Sacramento,California,95828,United States,(916) 392 6687,https://www.masjidannur.com/services/annur-sunday-school,EducationDirector@masjidannur.com,,,38.499308,-121.4380799,47,1,1
48,177bb039-431c-496d-8ae0-b201b655d726,Islamic Center of Riverside,"1038 W Linden St, Riverside, CA 92507",Riverside,California,92507,United States,(951) 732-7641,https://www.islamiccenterofriverside.net/sunday-school,Info@masjidriverside.org,,,33.9781403,-117.3342403,48,1,1
49,f55ff5cd-1a79-47e7-bccc-5e5605715bed,Islamic Center of San Gabriel Valley,"19164 E Walnut Dr N, Rowland Heights, CA 91748",Rowland Heights,California,91746,United States,626 964 3596,https://www.icsgv.com/weekend-islamic-school/,administration@icsgv.com,Rashed Mohammadi,Principal,33.9953969,-117.8843317,49,1,1
50,3ba750cd-2b53-452d-9c73-58aa3bfca9c0,Salam Weekend School (Sacramento Area League of Associated Muslims),"Salam Center Mosque, 4545 College Oak Dr, Sacramento, CA 95841",Sacramento,California,95841,United States,916-979-1933 Ext 3,https://salamcenter.org/salam-weekend-school/,facilitiesdirector@salamcenter.org,Ossama Elsebai,Facility Director,38.6473778,-121.3512147,50,1,1
51,3c4ee867-5aa2-4a3c-b7f3-a5d82f37bcd5,Islamic Center of Reseda,"18206 Victory Blvd, Tarzana, CA 91335",Reseda,California,91335,United States,818-697-2990,https://islamiccenterofreseda.com/weekend-school/,icreseda1@aol.com,Sis. Shirin Karoon,Principal,34.1862531,-118.5297453,51,1,1
52,391c07ff-663e-45af-a8a5-4cb3dbdb8571,Islamic Center od San Francisco,"400 Crescent Ave, San Francisco, CA 94110",Sanfrancisco,California,94110,United States,415.624.3754,https://www.icofsf.org,icofsf@gmail.com,,,37.7347493,-122.4167073,52,1,1
53,6aee83a6-3cb2-4ee7-b097-9aa10ed2c606,Islamic education Center of San Diago,"8977 Activity Rd #103, San Diego, CA 92126",San Diago,California,92126,United States,858-689-8888,http://www.iecsd.com,Imam@Iecsd.com,,,32.8959802,-117.132499,53,1,1
54,822d28e4-9354-41c4-b0ed-a75a135f0959,Al Rashid School (Islamic Center of San Diago),"7050 Eckstrom Ave, San Diego, CA 92111",San Diago,California,92111,United States,858-278-5240,https://www.icsd.org/al-rashid-school.html,admin@alrashid.icsd.org,,,32.82058420000001,-117.1654905,54,1,1
55,8bceff68-236c-4cae-a2ca-bae16b9c55a6,Noor Al Islam School (Masjid Noor Al Islam),"118 Jones St, San Francisco, CA 94102",San Francisco,California,94102,United States,(415) 292-9709,https://www.alsabeel.org/,alsabeel@alsabeel.org,,,37.7824221,-122.4120614,55,1,1
56,545cb25f-ed50-4501-aa34-536e271d6e12,Mosque of San Gabriel,"1301 E Las Tunas Dr, San Gabriel, CA 91776",San Gabriel,California,91775,United States,(626) 285-2697,https://www.masjidgibrael.org/sunday-school/,masjidgibrael1301@gmail.com,,,34.1040863,-118.0793922,56,1,1
57,5f7f1a66-c54d-490f-a39c-726ce03cfc4e,SAB Sunday School (Saba islamic center),"4415 Fortran Ct, San Jose, CA 95134",San Jose,California,95134,United States,(408) 946-5700,https://www.saba-igc.org/,sab-admin@saba-igc.org,Dr. Nabi Raza Abidi,School Admin,37.421049,-121.9581482,57,1,1
58,8b16a307-3d5d-4b59-a9a2-e35fc57c7cbe,Alqarawiyyeen Schools (Blossom Valley Muslim Community Center),"5885 Santa Teresa Blvd #113, San Jose, CA 95123",San Jose,California,95123,United States,408-588-1717,https://www.bvmcc.org,Info@alqarawiyyeenschools.com,,School,37.2358679,-121.8317751,58,1,1
59,98050d5d-4a20-4ab9-ae2b-7d8b2cf5dc70,South Bay Islamic Association,"2345 Harris Way, San Jose, CA 95131",San Jose,California,95131,United States,,https://sbia.info/,sbiais@sbia.info,,School,37.4029415,-121.9052798,59,1,1
60,a4e21e29-cc29-4464-b98f-9cfed89da4a8,South Valley Islamic Center,"40 E 4th St, Morgan Hill, CA 95037",Morgan Hill,California,95037,United States,,https://svic.org/islamic-school/,svic@svic.org,,,37.1274108,-121.6508407,60,1,1
61,75a06429-8fdf-4c53-bda7-fc504a287fbb,San Ramon Valley Islamic Center,"2232 Camino Ramon, San Ramon, CA 94583",San Ramon,California,94583,United States,925-380-6432,https://srvic.org/islamic-school/,hasiba@SRVIC.org,Nasira Sharieff,,37.77678700000001,-121.969178,61,1,1
62,7a83afdf-6769-4168-99cd-5e0551d8416e,Imammia Education Center,"Santa Ana, CA 92705",Santa Ana,California,92705,United States,(714) 524-5580,https://www.imamia.org,aamithani@yahoo.com,,,33.7532358,-117.7901088,62,1,1
63,200a4227-aa1c-46f2-bce9-8b0ad64705e4,Islamic Society of Santa Barbara,"302 N Los Carneros Rd, Goleta, CA 93117",Goleta,California,93117,United States,805-317-4277,https://islamsb.org/take-a-class/,contactissb@gmail.com,,,34.4405145,-119.8524553,63,1,1
64,b44a8124-e846-4ed0-a508-bb8232f91010,Muslim Community Association,"3003 Scott Blvd, Santa Clara, CA 95054",Santa Clara,California,95054,United States,(408) 727-7277 ext 413,https://mcabayarea.org/weekend-islamic-school/,wis@mcabayarea.org,,,37.3771804,-121.9592202,64,1,1
65,545ca17e-c9e9-4936-b881-5020974e22a8,Islamic Center of Temecula Valley,"31061 Nicolas Rd, Temecula, CA 92591",Temecula,California,92591,United States,(888) 232-2288,https://icotv.org/,education@icotv.org,Br. Bahjat Akari,Education Comitee Chairperson,33.541633,-117.1171539,65,1,1
66,6c46911b-e173-4312-976e-d0295da852c8,Tracy Islamic Center,"11970 W Larch Rd, Tracy, CA 95304",Tracy,California,95304,United States,209-830-6286,https://www.tracyislamiccenter.org/services/sunday-school/,school@tracyislamiccenter.org,,,37.7647205,-121.4526259,66,1,1
67,96433066-7b93-4640-a977-86d354973876,Jafaria Islamic Society,"1546 E La Palma Ave, Anaheim, CA 92805",Anaheim,California,92805,United States,323-854-6122,https://jafaria.org/school/,info@jafaria.org,Musawir Jafri,,33.8469865,-117.8956438,67,1,1
68,a76b6656-a712-4f56-8cd4-78be7a4daf82,Darul Falah Islamic Center,"14712 Bentley Cir, Tustin, CA 92780",Tustin,California,92780,United States,949-466-2740,https://tustinmasjid.com/,dufprograms@gmail.com,,,33.7140841,-117.8071921,68,1,1
69,54dfce56-84bd-4349-bb55-fe85ee8ffe32,Islamic Community of Slinas,"35 W Market St, Salinas, CA 93901",Salinas,California,93901,United States,831-272-4885,https://www.icsalinas.org/school,imam@icsalinas.org,,,36.6778255,-121.6570651,69,1,1
70,1bcd1064-6d03-4725-af58-37688feba6e4,Islamic Association of Greater Hartford Weekend School (Berlin Mosque),"1781 Wilbur Cross Hwy, Berlin, CT 06037",Berlin,Connecticut,6037,United States,860-829-6411,https://www.berlinmosque.org/sunday-school/,iaghweekendschool@gmail.com,,,41.6031877,-72.75150769999999,70,1,1
71,d05784ae-dc3f-4dbe-b0e1-1fda3506efd6,Bridgeport Islamic Community Center,"703 State St, Bridgeport, CT 06604",Bridgeport,Connecticut,6604,United States,(203)870-1729,https://www.mybicc.org/,education@mybicc.org,,,41.1736787,-73.19816039999999,71,1,1
72,da5815fd-172d-4a55-a1b3-affcf6d98f95,Clara Muhammad School (Muhammad Islamic Center of Greater Hartford),"155 Hungerford St, Hartford, CT 06106",hartford,Connecticut,6106,United States,(860) 728 8646,https://micgh.org,taqwanct@aol.com,,,41.7590712,-72.6860465,72,1,1
73,be76829e-f683-41d3-a8f9-d64747c82f9a,Islamic Center of Conneticut,"140 White Rock Dr, Windsor, CT 06095",Windsor,Connecticut,6095,United States,1-844-623-4621,http://icct.org/sunday-school/,sundayschool@icct.org,Muhammad Suleiman,Principal,41.8117101,-72.67133559999999,73,1,1
74,7511d33d-2991-4541-9c67-f8adca5157a2,The Islamic Association of Central Connecticut,"100 Arch St, New Britain, CT 06051",New Britain,Connecticut,6051,United States,1 860-348-5733,https://taqwact.org/services/weekend-school/,info@taqwact.org,,,41.6642736,-72.7819811,74,1,1
75,f201ed32-ecc9-44e8-a5ce-01f2ecfbc9bc,Stamford Islamic Center,"379 West Ave, Stamford, CT 06902",Stamform,Connecticut,6902,United States,203-504-2800,http://stamfordislamiccenter.com,info@stamfordislamiccenter.com,,,41.0408968,-73.5593668,75,1,1
76,13e8d495-6923-443b-bf9b-da9647c54e5b,Masjid Al Mustafa,"95 Schraffts Dr, Waterbury, CT 06705",Waterbury,Connecticut,6705,United States,(203) 597-7676,https://www.iasconnect.org,masjid_almustafa@att.net,,,41.541141,-72.990686,76,1,1
77,90616e94-da72-4737-8082-803843170b36,New Haven Islamic Center,"254 Bull Hill Ln, Orange, CT 06477",Orange,Connecticut,6577,United States,203-933-5799,https://www.nhicct.org/,info@nhicct.org,,,41.2737505,-72.9884464,77,1,1
78,55d829e1-8eeb-4ae4-9d4d-e56024e8b19a,Childern Educational Program (Islamic Society of Central Delawere),"777 S Little Creek Rd, Dover, DE 19901",Dover,Delawere,19901,United States,302-943-3659,https://cepdelaware.com/,cep.delaware@gmail.com,Muniza Iftekhar,Incharge,39.1590089,-75.5067875,78,1,1
79,460f5968-81d4-4717-a4aa-75da1f0f05c8,Islamic Society of Delawere (Masjid Ibrahim),"28 Salem Church Rd, Newark, DE 19713",Newark,Delawere,19713,United States,302-733-0373 Ext 8,https://www.isdonline.org/sunday-school,sundayschool@isdonline.org,Br. Emad Ahmed,Incharge,39.6758791,-75.6961224,79,1,1
80,58aec5c3-8959-4d3a-b267-d96fbe0e7d4e,First Hijrah Foundation,"4324 Georgia Ave NW, Washington, DC 20011",Washington,District of Columbia,20011,United States,(202) 450-1163,https://firsthijrah.org,info@firsthijrah.org,,,38.943623,-77.02625200000001,80,1,1
81,c62cae2f-68de-43b7-b416-6de15ca1cbc5,Islamic Center of Boca Raton,"3480 NW 5th Ave, Boca Raton, FL 33431",Boca Raton,Florida,33431,United States,561-395-7221,https://icbr.org/,masjid@icbr.org,,,26.381179,-80.0929755,81,1,1
82,05059c4b-7876-4e28-844d-7d7333a068cd,The Islamic Center of Daytona Beach,"347 S Keech St, Daytona Beach, FL 32114",Daytona Beach,Florida,32114,United States,(386) 252-3501,https://ic-db.weebly.com/,,Administrator,,29.2005636,-81.03435689999999,82,1,1
83,f77815d7-a615-41f7-b3a1-a3c0869525b1,Islamic Society of Central Florida,"1586 N Goldenrod Rd, Orlando, FL 32807",Orlando,Florida,32802,United States,407-273-8363,https://iscf.org/education/wize/,,,,28.5649273,-81.2864005,83,1,1
84,b19dadf5-e025-497e-acd5-9be04244b6e3,Association of Islamic Charitable Projects,"2820 Griffin Rd, Fort Lauderdale, FL 33312",Fort lauderdale,Florida,33312,United States,(954) 986-1373,https://www.aicp.org/,,,,26.0620527,-80.17937649999999,84,1,1
85,9036c919-d490-4cfb-bcc9-c8fbba7797ac,Masjid Al Iman,"2542 Franklin Dr, Fort Lauderdale, FL 33311",Fort lauderdale,Florida,33311,United States,1-954-581-6295,https://masjidaliman.com/,office@masjidaliman.com,,,26.1347264,-80.17685209999999,85,1,1
86,f96c67e2-5d68-4f43-9077-aa6acdea7a85,Hoda Center,"5220 SW 13th St, Gainesville, FL 32608",Gainesville,Florida,32608,United States,1 352-377-8080,https://hodacenter.org/,hodacentersundayschool@gmail.com,Administrator,,29.6047666,-82.342879,86,1,1
87,d9f46df5-a651-4b40-afda-acefcb2ffd29,Islamic Jaffaria Association,"10554 NW 132nd St, Hialeah, FL 33018",Hialeah Gardens,Florida,33018,United States,305-557-6835,https://www.ijamiami.org/,taqi@ijamiami.org,,,25.8929451,-80.3710411,87,1,1
88,8100fbb1-dcdf-4e43-ab48-0cff15b1a45f,Islamic Movement of Florida,"3201 N 74th Way, Pembroke Pines, FL 33024",Hollywood,Florida,33024,United States,(954) 894-9110,https://www.imof.org/,info@imof.org,,,26.0300561,-80.23771409999999,88,1,1
89,08b8d3ce-0b7d-4e88-a101-704bdc38ab08,Islamic Center of Northeast Florida,"2333 St Johns Bluff Rd S, Jacksonville, FL 32246",Jacksonville,Florida,32246,United States,904 646 3462,https://icnef.org/,info@icnef.org,,,30.3075837,-81.52516349999999,89,1,1
90,fb2fe0e8-0d06-42ee-a6bf-7c8cc802572f,Masjid Taqwa,"2417 N Central Ave, Kissimmee, FL 34741",Kissimmee,Florida,34741,United States,321-219-7869,https://masjidtaqwa.org/,info@masjidtaqwa.org,,,28.318038,-81.4086336,90,1,1
91,c90f2ce0-f1b7-45ac-a890-22bf5eab26de,Masjid As-Sunnah,"1535 S Hoagland Blvd, Kissimmee, FL 34741",Kissimmee,Florida,34746,United States,407-935-0337,https://masjidassunnah-fl.com/,webmaster@masjidassunnah-fl.com,,,28.2639774,-81.4357119,91,1,1
92,fc6a5ef7-41fb-47b8-9bcb-545bbc8b5b19,Islamic Sunday School at Islamic Center of Greater Miami,"4305 NW 183rd St, Miami Gardens, FL 33055",Miami Gardens,Florida,33055,United States,(305) 624‑5555,https://www.sundayschoolaticgm.com/,sundayschool.icgm@gmail.com,,,25.9408164,-80.2718992,92,1,1
93,dc471723-f08d-400e-9bd8-2983069f7b13,Islamic Center of Orange park,"158 College Dr, Orange Park, FL 32065",Orange Park,Florida,32065,United States,(904) 330 4847,https://icopfl.org/,icopfl786@gmail.com,,,30.1276717,-81.7757756,93,1,1
94,5ba0bfce-a67e-4b10-a563-6446a69dd2b0,Islamic Center of Orlando,"11543 Ruby Lake Rd, Orlando, FL 32836",Orlando,Florida,32836,United States,689 280 4402,https://www.icorlando.org/,info@icorlando.org,,,28.3984454,-81.5028205,94,1,1
95,b6f384bc-bb1a-48ae-89de-06a8887c7e5f,Islamic Society of Pinellas County,"Pinellas Park, FL 33780",Pinellas Park,Florida,33780,United States,1 727-546-3162,https://ispc-fl.org/,info@ispc-fl.org,,,27.8428057,-82.7055625,95,1,1
96,2355abb0-0e69-4a11-9b2b-a5b86ae10257,Nur Academy (Islamic Society of Sarasota Beadenton),"4350 N Lockwood Ridge Rd, Sarasota, FL 34235",Sarasota,Florida,34234,United States,(941)-343-3038,https://nur-academy.org/,,,,27.3723722,-82.50408949999999,96,1,1
