name,address,city,state,zip_code,country,phone,website,email_primary,contact_person,contact_person_role,latitude,longitude
South Valley Islamic Center,"40 E 4th St, Morgan Hill, CA 95037",Morgan Hill,California,95037,United States,,https://svic.org/islamic-school/,svic@svic.org,,,37.1274108,-121.6508407
Imammia Education Center,"Santa Ana, CA 92705",Santa Ana,California,92705,United States,(714) 524-5580,https://www.imamia.org,aamithani@yahoo.com,,,33.7532358,-117.7901088
Islamic Society of Santa Barbara,"302 N Los Carneros Rd, Goleta, CA 93117",Goleta,California,93117,United States,805-317-4277,https://islamsb.org/take-a-class/,contactissb@gmail.com,,,34.4405145,-119.8524553
Islamic Center of Temecula Valley,"31061 Nicolas Rd, Temecula, CA 92591",Temecula,California,92591,United States,(888) 232-2288,https://icotv.org/,education@icotv.org,Br. Bahjat Akari,Education Comitee Chairperson,33.541633,-117.1171539
Jafaria Islamic Society,"1546 E La Palma Ave, Anaheim, CA 92805",Anaheim,California,92805,United States,323-854-6122,https://jafaria.org/school/,info@jafaria.org,Musawir Jafri,,33.8469865,-117.8956438
Darul Falah Islamic Center,"14712 Bentley Cir, Tustin, CA 92780",Tustin,California,92780,United States,949-466-2740,https://tustinmasjid.com/,dufprograms@gmail.com,,,33.7140841,-117.8071921
Islamic Community of Slinas,"35 W Market St, Salinas, CA 93901",Salinas,California,93901,United States,831-272-4885,https://www.icsalinas.org/school,imam@icsalinas.org,,,36.6778255,-121.6570651
Bridgeport Islamic Community Center,"703 State St, Bridgeport, CT 06604",Bridgeport,Connecticut,6604,United States,(203)870-1729,https://www.mybicc.org/,education@mybicc.org,,,41.1736787,-73.1981604
Clara Muhammad School (Muhammad Islamic Center of Greater Hartford),"155 Hungerford St, Hartford, CT 06106",hartford,Connecticut,6106,United States,(860) 728 8646,https://micgh.org,taqwanct@aol.com,,,41.7590712,-72.6860465
Islamic Center of Conneticut,"140 White Rock Dr, Windsor, CT 06095",Windsor,Connecticut,6095,United States,1-844-623-4621,http://icct.org/sunday-school/,sundayschool@icct.org,Muhammad Suleiman,Principal,41.8117101,-72.6713356
The Islamic Association of Central Connecticut,"100 Arch St, New Britain, CT 06051",New Britain,Connecticut,6051,United States,1 860-348-5733,https://taqwact.org/services/weekend-school/,info@taqwact.org,,,41.6642736,-72.7819811
Stamford Islamic Center,"379 West Ave, Stamford, CT 06902",Stamform,Connecticut,6902,United States,203-504-2800,http://stamfordislamiccenter.com,info@stamfordislamiccenter.com,,,41.0408968,-73.5593668
Masjid Al Mustafa,"95 Schraffts Dr, Waterbury, CT 06705",Waterbury,Connecticut,6705,United States,(203) 597-7676,https://www.iasconnect.org,masjid_almustafa@att.net,,,41.541141,-72.990686
New Haven Islamic Center,"254 Bull Hill Ln, Orange, CT 06477",Orange,Connecticut,6577,United States,203-933-5799,https://www.nhicct.org/,info@nhicct.org,,,41.2737505,-72.9884464
Childern Educational Program (Islamic Society of Central Delawere),"777 S Little Creek Rd, Dover, DE 19901",Dover,Delawere,19901,United States,302-943-3659,https://cepdelaware.com/,cep.delaware@gmail.com,Muniza Iftekhar,Incharge,39.1590089,-75.5067875
Islamic Center of Boca Raton,"3480 NW 5th Ave, Boca Raton, FL 33431",Boca Raton,Florida,33431,United States,561-395-7221,https://icbr.org/,masjid@icbr.org,,,26.381179,-80.0929755
The Islamic Center of Daytona Beach,"347 S Keech St, Daytona Beach, FL 32114",Daytona Beach,Florida,32114,United States,(386) 252-3501,https://ic-db.weebly.com/,,Administrator,,29.2005636,-81.0343569
Islamic Society of Central Florida,"1586 N Goldenrod Rd, Orlando, FL 32807",Orlando,Florida,32802,United States,407-273-8363,https://iscf.org/education/wize/,,,,28.5649273,-81.2864005
Islamic Movement of Florida,"3201 N 74th Way, Pembroke Pines, FL 33024",Hollywood,Florida,33024,United States,(954) 894-9110,https://www.imof.org/,info@imof.org,,,26.0300561,-80.2377141
Masjid As-Sunnah,"1535 S Hoagland Blvd, Kissimmee, FL 34741",Kissimmee,Florida,34746,United States,407-935-0337,https://masjidassunnah-fl.com/,webmaster@masjidassunnah-fl.com,,,28.2639774,-81.4357119
Islamic Sunday School at Islamic Center of Greater Miami,"4305 NW 183rd St, Miami Gardens, FL 33055",Miami Gardens,Florida,33055,United States,(305) 624‑5555,https://www.sundayschoolaticgm.com/,sundayschool.icgm@gmail.com,,,25.9408164,-80.2718992
Islamic Center of Orange park,"158 College Dr, Orange Park, FL 32065",Orange Park,Florida,32065,United States,(904) 330 4847,https://icopfl.org/,icopfl786@gmail.com,,,30.1276717,-81.7757756
Islamic Society of Pinellas County,"Pinellas Park, FL 33780",Pinellas Park,Florida,33780,United States,1 727-546-3162,https://ispc-fl.org/,info@ispc-fl.org,,,27.8428057,-82.7055625
Masjid Al Sunnah,"2400 6th St S, St. Petersburg, FL 33705",St. Petesburg,Florida,33705,United States,727 288 3636,https://isspmosque.com/,Info@arqamsacademy.com,,,27.7462998,-82.6399307
Islamic Foundation of South Florida,"5455 NW 108th Ave, Sunrise, FL 33351",Sunrise,Florida,33351,United States,(954) 213-8897,https://ifsf.net/,,,,26.190879,-80.2940936
Muslim Community of Palm Beach County,"4893 Purdy Ln, West Palm Beach, FL 33415",West Paml Beach,Florida,33415,United States,561-969-1584,https://mcpbc.org/,imam@mcpbc.org,Imam,,26.6449815,-80.119384
Hamza Islamic Center,"665 Tidwell Rd, Alpharetta, GA 30004",Alpharetta,Georgia,30004,United States,(770) 558-3519,https://www.masjidhamzah.com/,GeneralSecretary@masjidhamzah.com,Umar Mohamed Ibrahim,General Secretary,34.1173535,-84.2485897
Masjid Al-Taqwa,"2680 Golfside Rd, Ann Arbor, MI 48108",Ann Arbor,Michigan,48108,United States,(734)-829-8380,https://masjidattaqwa.org/,Masjidattaqwaaa@gmail.com,Seikh Ahmed,In Charge,42.2491593,-83.6613463
Dar-un-Noor Sunday School,"434 14th St NW, Atlanta, GA 30318",Atlanta,Georgia,30318,United States,404-454-5500,https://dunsundayschool.wordpress.com/,dunsundayschool@yahoo.com,Principal,,33.7852811,-84.4014297
Masjid Quba,"at Texaco, 5698 Hwy 20 SE, Cartersville, GA 30121",CARTERSVILLE,Georgia,30121,United States,678-719-9770,http://iccga.org/,nfo@iccga.org,,,34.2097593,-84.7585675
Dar-E-Abbas,"5064 Lawrenceville Hwy, Lilburn, GA 30047",Lilburn,Georgia,30047,United States,(404) 277-5295,http://dareabbas.com/,,Masoud Naqvi,Principal,33.8889005,-84.1483832
Masjid Omar,"955 Harbins Rd NW, Lilburn, GA 30047",Lilburn,Georgia,30047,United States,404-955-0625,https://masjidomar.org/,info@masjidomar.org,Sister Noor,,33.8990973,-84.1700968
East Cobb Islamic Center,"1111 Braswell Rd, Marietta, GA 30062",Marietta,Georgia,30062,United States,(678) 528-1414,https://www.ec-ic.org/,info@ec-ic.org,,,33.9785234,-84.486962
Masjid-Ibad-Ur- Rahman,"2440 Sandy Plains Rd Building #15, Marietta, GA 30066",Marietta,Georgia,30066,United States,678-560-3398,https://www.ibad-ur-rahman.org/,masjid@ibad-ur-rahman.org,,,34.0090483,-84.4949945
Roswell Community Masjid,"345 Market Pl, Roswell, GA 30075",Roswell,Georgia,30075,United States,770-640-1411,https://roswellmasjid.org/,info@roswellmasjid.org,,,34.0304729,-84.3401958
Anniston Islamic Center,"Anniston, AL 36207",Anniston,Alabama,36207,United States,256-238-8613,https://annistonic.org/,,Dr. Khurram Fareed,President,33.656468,-85.7461548
Homewood Masjid | BIS,"1810 25th Ct S, Birmingham, AL 35209",Homewood,Alabama,35209,United States,205-879-4247,https://www.bisweb.org/,bisoffice@bisweb.org,,,33.4866824,-86.7912631
Huntsville Islamic Center,"1645 Sparkman Dr NW, Huntsville, AL 35816",Huntsville,Alabama,35816,United States,256-721-1712,https://huntsvilleislamiccenter.org/,board@huntsvilleislamiccenter.org,,,34.7426918,-86.6484852
American Islamic Center of Mobile,"6702 Old Shell Rd, Mobile, AL 36608",Mobile,Alabama,36608,United States,251-366-5000,https://mobilemosque.com/,AICOFMOBILE@gmail.com,,,30.691428,-88.1982207
Muslim Center of Montgomery,"Montgomery, AL 36105",Montgomery,Alabama,36105,United States,334-312-7872,https://www.mcmontgomery.org/,muslimcenterofmontgomery@gmail.com,,,32.2334312,-86.2767995
Al-Huda Islamic Center,"10 Cayuga Vista Dr #0, Lansing, NY 14882",Lansing,New York,14882,United States,607-533-0357,https://alhudaislamiccenter.org/,contactus@alhudaislamiccenter.org,Mahmud Burton,President,42.5337865,-76.501205
Islamic Society of Tuscaloosa,"416 Paul W Bryant Dr, Tuscaloosa, AL 35401",Tuscaloosa,Alabama,35401,United States,205-758-3382,https://istuscaloosa.org/,support@istuscalosa.org,,,33.205591,-87.5308342
The Islamic Community Of Anchorage Alaska,"8005 Spring St, Anchorage, AK 99518",Anchorage,Alaska,99518,United States,907-248-7333,https://alaskamasjid.org/,alaskamuslimcommunity@yahoo.com,,,61.1481726,-149.8611941
Islamic Center of the East Valley,"425 N Alma School Rd, Chandler, AZ 85225",Chadler,Arizona,85224,United States,480-910-0330,https://icev.org/,info@icevmasjid.org,,,33.3109777,-111.8576207
Islamic Center of Laveen,"5099 W Dobbins Rd #1, Laveen Village, AZ 85339",Laveen Village,Arizona,85339,United States,602-237-2666,https://www.islamiccenteroflaveen.org/,secretary@iclaveen.net,,,33.3620193,-112.168722
Masjid Bilal IBN Rabah,"44370 W Cesar Chavez Ln, Maricopa, AZ 85138",Maricopa,Arizona,85138,United States,480-582-9993,https://masjidbilalaz.org/,masjidbilalaz@gmail.com,,,33.0562786,-112.0445697
Majid Al-Noor,"N Matlock St, Mesa, AZ 85203",Mesa,Arizona,85203,United States,480-644-0074,https://www.masjid-alnoor.org/,info@masjid-alnoor.org,,,33.4233713,-111.8080229
Albanian American Islamic Center,"5825 St Charles Rd, Berkeley, IL 60163",Berkeley,Arizona,60163,United States,708-544-2609,https://albanianamericanislamiccenter.com/,office@albanianilamciccenter.com,Mr. Ismail Mehmeti,President,41.8892227,-87.9144034
Arizona Cultural Academy,"7810 S 42nd Pl, Phoenix, AZ 85042",Phoenix,Arizona,85042,United States,602-454-1222,https://www.azacademy.org/,info@azacademy.org,,,33.3756163,-111.9929104
Islamic Center of North East Valley,"12125 E Vía Linda, Scottsdale, AZ 85259",Scottsdale,Arizona,85259,United States,602-456-0199,https://islamcenter.com/,pr@islamcenter.com,,,33.5892259,-111.818385
Masjid Omar Bin Khatab,"مسجد عمر بن الخطاب مدينة تمبي Tempe, 6225 S McClintock Dr, Tempe, AZ 85283",Tempe,Arizona,85283,United States,480-775-6627,https://masjidomartempe.org/,MasjidOmarTempe@Yahoo.com,,,33.3652465,-111.9106558
ICC-Islamic Community Center of Tempe,"131 E 6th St, Tempe, AZ 85281",Tempe,Arizona,85281,United States,480-894-6070,https://tempemosque.com/,office@tempemosque.com,,,33.4240604,-111.9369396
Muslim Community Center of Tucson,"5100 N Kevy Pl, Tucson, AZ 85704",Tucson,Arizona,85704,United States,520-329-8568,https://www.mcctucson.org/,,,,32.2995154,-110.9978625
Masjid Al-KHaliq,"Clarksville, AR 72830",Clarksville,Arkansas,72830,United States,813-922-8684,https://www.masjidalkhaliq.org/index.html,office@masjidalkhaliq.org,,,35.4712243,-93.468612
Muslim Center of Conway,"1715 South Blvd, Conway, AR 72034",Conway,Arkansas,72034,United States,501-339-8744,https://www.the-mcc.org/,info@the-mcc.org,,,35.0788501,-92.4477833
Islamic Center Of Little Rock,"3224 Anna St, Little Rock, AR 72204",Little Rock,Arkansas,72204,United States,501-565-4930,https://theiclr.org/,admin@theiclr.org,,,34.7221727,-92.3333719
Masjid Ameen Zakariyya,"1717 Wright Ave, Little Rock, AR 72202",Little Rock,Arkansas,72203,United States,501-372-1942,https://masjid.us/ar/ar-72203/,masjidamerica@gmail.com,,,34.7319225,-92.2924757
Islamic Center of Alameda,"901 Santa Clara Ave, Alameda, CA 94501",Alameda,California,94501,United States,510-748-9052,https://icabayarea.org/,info@icabayarea.org,,,37.7733957,-122.2702309
Salaam Islamic Center,"1136 N Brookhurst St, Anaheim, CA 92801",Anaheim,California,92801,United States,714-999-2800,https://www.aicpca.org/,info@aicpca.org,,,33.8486191,-117.9588111
Masjid Al-Ansar,"1717 S Brookhurst St, Anaheim, CA 92804",Anaheim,California,92804,United States,714-535-1100,https://www.wcismasjid.com/,office@wcismasjid.com,,,33.8055971,-117.9595433
Islamic Center of East Bay,"33330 Peace Terrace, Fremont, CA 94555",Fremont,California,94555,United States,510-429-4732,https://isebfremont.org/,info@iseb.org,,,37.5808282,-122.0547467
Masjid Al-Fatiha of America,"210 N Citrus Ave, Azusa, CA 91702",Azusa,California,91702,United States,626-815-8679,https://www.masjidalfatiha.org/,masjid.alfatiha@gmail.com,,,34.1242211,-117.8897116
Masjid Al-Rasool,"1206 Erringer Rd, Simi Valley, CA 93065",Simi Valley,California,93065,United States,805-334--178,https://www.masjid-al-rasool.com/,masjid.rasool@gmail.com,,,34.2611235,-118.7612035
Fatima Islamic Society,"7252 Remmet Ave # 101, Canoga Park, CA 91303",Canoga Park,California,91303,United States,818-347-8889,https://fatimasociety.org/,,,,34.2026783,-118.6001871
Islamic Center of Chico,"1316 Nord Ave, Chico, CA 95926",Chico,California,95926,United States,530-342-5889,https://www.chicoislamiccenter.org/,milhan@mail.csuchico.edu,,,39.7340683,-121.862621
Chino Valley Islamic Center,"4711 Chino Ave, Chino, CA 91710",Chico,California,91710,United States,909-786-1487,https://cvislamiccenter.org/,info@CVIslamicCenter.org,,,34.0110075,-117.7016815
Al Rashid Mosque,"113 St NW, Edmonton, AB T5E 5A8, Canada",Edmonton,Alberta,T5E 5A8,United States,780-451-6694,https://alrashidmosque.ca/,info@alrashidmosque.ca,,,53.590475,-113.5151055
Dar Ul-Islam Masjid,"2449 Buena Vista Ave, Walnut Creek, CA 94597",Walnut Creek,California,94597,United States,925-482-0077,https://www.darulislam.org/,operations@darulislam.org,Khaled Saleh,Director of Operations,37.9135327,-122.0732028
Islamic Center of Corona and Norco,"465 Santana Way, Corona, CA 92881",Corona,California,92881,United States,951-736-8155,https://coronamuslims.com/,info@coronamuslims.com,,,33.8517001,-117.5625688
Islamic Educational Center of Orange Country,"3194 Airport Loop Dr b, Costa Mesa, CA 92626",Costa Mesa,California,92626,United States,714-432-0062,https://iecoc.org/,info@iecoc.org,,,33.6842713,-117.8667285
Kurdish Community Islamic Center,"El Cajon, CA 92021",El Cajon,California,92021,United States,619-442-4435,https://masjidashty.com/,masjidashty2010@hotmail.com,,,32.8324351,-116.8792553
AR-Rahman Islamic Center,"7641 Sierra Ave., Fontana, CA 92336",Fontana,California,92336,United States,909-355-4900,https://arrahmanislamiccenter.com/,email@ArrahmanIslamicCenter.com,,,34.1149992,-117.4347555
Al-Medina Education Center,"5880 Thornton Ave, Newark, CA 94560",Newark,California,94560,United States,510-516-7890,https://mec1.org/,info@mec1.org,,,37.5382202,-122.0283834
Islamic Society of East Bay,"33330 Peace Terrace, Fremont, CA 94555",Fremont,California,94555,United States,510-429-4732,https://isebfremont.org/,info@iseb.org,,,37.5808282,-122.0547467
Ibrahim Khalilullah Islamic Center,"1121 Old Canyon Rd, Fremont, CA 94536",Fremont,California,95639,United States,510-651-0122,https://masjidikic.org/,Fareed.Wardak@IKICenter.org,,,37.5823453,-121.9634708
Islamic Center of Fremont,"4039 Irvington Ave, Fremont, CA 94538",Fremont,California,94538,United States,510-661-0352,https://icfbayarea.com/,wakilahmed2012@gmail.com,,,37.5313514,-121.9597979
Badr Islamic Center,"7150 N Milburn Ave, Fresno, CA 93722",Fresno,California,93722,United States,559-297-9535,https://centrebadr.net/,mail@al-quean.com,,,36.8391642,-119.8783564
Islamic Society of Orange Country,"9752 13th St, Garden Grove, CA 92844",,California,92844,United States,714-531-1722,https://www.isocmasjid.org/,info@isocmasjid.org,,,33.755054,-117.958393
Islamic Center of Northridge | Granada Hills Masjid,"11439 Encino Ave, Granada Hills, CA 91344",Granada Hills,California,91344,United States,818-360-3500,https://goicn.org/,info@goicn.org,,,34.2785881,-118.5162794
The Islamic Center of Hawthorne,"12209 Hawthorne Way, Hawthorne, CA 90250",Hawthorne,California,90250,United States,31--973-8000,https://ichla.org/,info@ichla.org,,,33.921749,-118.3538195
Hayward Islamic Center,"26320 Gading Rd, Hayward, CA 94544",Hayward,California,94544,United States,510-963-5578,https://www.masjidmuhajireen.org/,info@masjidmuhajireen.org,,,37.6436144,-122.0808399
Masjid Muhajireen,"185 Folsom Ave, Hayward, CA 94544",Hayward,California,94544,United States,510-786-0313,https://www.masjidmuhajireen.org/,info@masjidmuhajireen.org,,,37.6280285,-122.0588746
Fatimiyya Islamic Center,"573 Bartlett Ave, Hayward, CA 94541",Hayward,California,94541,United States,510-244-7780,,FartimiyyaCenter@gmail.com,,,37.6711169,-122.115652
Islamic Center of Irvine,"2 Truman St, Irvine, CA 92620",Irvine,California,92620,United States,949-786-4264,https://www.icoi.net/,ws@icoi.net,,,33.6964995,-117.765507
Islamic Center of North Valley,"42554 4th St, Ridgecrest, CA 93555",Lancaster,California,93555,United States,661-726-4749,https://www.islamiccenterofnorthvalley.com/,admin@icnvmosque.com,,,35.6396916,-117.5870356
Masjid Usman | Center for Religious Tolerance,"7126 Westview Pl, Lemon Grove, CA 91945",Lemon Grove,California,91945,United States,619-374-1043,https://masjidusman.org/,info@MasjidUsman.org,,,32.7414814,-117.0447043
Islamic Center of Livermore,"379 S Livermore Ave, Livermore, CA 94550",Livermore,California,94550,United States,925-443-1826,https://iclivermore.org/,info@iclivermore.org,,,37.6803399,-121.7661823
Lodi Muslim Mosque,"210 Poplar St, Lodi, CA 95240",Lodi,California,95240,United States,209-333-9619,,Lodimuslimmosque20@gmail.com,,,38.1191527,-121.2690306
Islamic Center of Southern California,"434 S Vermont Ave, Los Angeles, CA 90020",Los Angeles,California,90020,United States,213-382-9200,https://www.islamiccenter.com/,info@islamiccenter.com,,,34.0664608,-118.2912604
Islamic Community Center of Redlands,"24769 Redlands Blvd, Loma Linda, CA 92354",Loma Linda,California,92354,United States,909-915-5920,https://iccredlands.org/,contact@iccredlands.org,,,34.0622166,-117.2642589
Islamic Center of South Bay,"28516 Walnut St, Lomita, CA 90717",Lomita,California,90717,United States,310-534-1363,https://masjidalnoor.org/,info@masjidalnoor.org,,,33.7875416,-118.3120665
Masjid Al-Shareef,"2104 Orange Ave, Long Beach, CA 90806",Long Beach,California,90806,United States,562-591-5320,https://maslb.net/,masjidalshareefoflongbeach57@gmail.cm,,,33.7953791,-118.1760353
Masjid Bilal Islamic Center,"4016 S Central Ave, Los Angeles, CA 90011",Los Angeles,California,90011,United States,323-233-7274,https://www.masjidbilalonline.com/index.html,bilalcenter@aol.com,,,34.0106292,-118.2557958
Salaam Islamic Center,"3735 Alton Pkwy, Irvine, CA 92606",Irvine,California,92606,United States,,,info@salaamic.org,,,33.6831962,-117.8167636
Masjid Umar Ibn Khattab,"1025 W Exposition Blvd, Los Angeles, CA 90007",Los Angeles,California,90007,United States,213-733-9838,https://omarfoundation.com/,info@omarfoundation.com,,,34.0186024,-118.2924579
Iranian American Muslim Association,"3376 Motor Ave, Los Angeles, CA 90034",Los Angeles,California,90034,United States,310-202-8181,https://iman.org/,INFO@IMAN.ORG,,,34.0282807,-118.40951
Masjid Bilal IBN Rabah,"696 Mt Zion Rd, Jonesboro, GA 30236",Morrow,Georgia,30236,United States,770-629-2220,https://masjidbilalibnrabaah.com/,info@masjidilalibnrabaah.com,,,33.5735475,-84.3676358
Madera Islamic Center,"16643 Rd 26, Madera, CA 93638",Madera,California,93638,United States,209-725-8167,https://www.masjidmadera.com/,masjidmadera@gmail.com,,,36.9912515,-120.0735309
Islamic Center of Milly Valley,"Shell Rd, Victoria, Australia",Mill Valley,California,92941,United States,415-383-0617,https://www.mvmasjid.com/,school@mvmasjid.com info@mvmasjid.com,,,-38.2653628,144.5736587
El Zahara Islamic Center,"218 Irving St, Midland Park, NJ 07432",Midland Park,New Jersey,7432,United States,201-670-9090,https://www.elzahra.org/,info@elzahra.org,,,41.0012454,-74.1436071
Dar Us Salam Masjid,"Fiesta Plaza, Dempsey Rd, Milpitas, CA 95035",Milpitas,California,95050,United States,408-719-9010,https://alhilaal.org/home/,info@alhilaal.org,,,37.4337402,-121.8859672
Orange Country Islamic Foundation,"23581 Madero, Mission Viejo, CA 92691",Mission Viejo,California,92691,United States,949-595-0480,https://ocif.org/,admin@ocif.org,,,33.6205731,-117.6758662
